gene_ID	OF_ID	seqname	start	end	gea_gene
PITA_00001	0	C4261479	3526	6842	C4261479:3526-6842
PITA_00002	1	scaffold156184	125836	128790	scaffold156184:125836-128790
PITA_00003	2	super3028	549149	550376	super3028:549149-550376
PITA_00004	3	scaffold96076	165271	166801	scaffold96076:165271-166801
PITA_00005	4	scaffold107649	2865	19819	scaffold107649:2865-19819
PITA_00006	5	scaffold156641	143611	144331	scaffold156641:143611-144331
PITA_00007	6	super4027	619396	620378	super4027:619396-620378
PITA_00008	7	scaffold230558	66983	68834	scaffold230558:66983-68834
PITA_00009	8	scaffold69215	471081	473104	scaffold69215:471081-473104
PITA_00010	9	scaffold28901	101753	102618	scaffold28901:101753-102618
PITA_00011	10	C4404499	8662	9843	C4404499:8662-9843
PITA_00012	11	scaffold16254	151353	153185	scaffold16254:151353-153185
PITA_00013	12	C4688103	763	2245	C4688103:763-2245
PITA_00014	13	C4940521	27760	28773	C4940521:27760-28773
PITA_00015	14	scaffold229178	134	1030	scaffold229178:134-1030
PITA_00016	15	scaffold69568	334675	339321	scaffold69568:334675-339321
PITA_00017	16	C5037191	27946	28329	C5037191:27946-28329
PITA_00018	17	scaffold153265	3250	4861	scaffold153265:3250-4861
PITA_00019	18	scaffold44347	157110	157910	scaffold44347:157110-157910
PITA_00020	19	scaffold126875	315472	318416	scaffold126875:315472-318416
PITA_00021	20	C4929351	16751	17706	C4929351:16751-17706
PITA_00022	21	scaffold75927	83323	88688	scaffold75927:83323-88688
PITA_00023	22	scaffold153255	90897	92525	scaffold153255:90897-92525
PITA_00024	23	C4825433	27559	31083	C4825433:27559-31083
PITA_00025	24	C5093531	1406	3544	C5093531:1406-3544
PITA_00026	25	scaffold202350	208966	216827	scaffold202350:208966-216827
PITA_00027	26	scaffold120821	598699	608596	scaffold120821:598699-608596
PITA_00028	27	scaffold149324	239718	257622	scaffold149324:239718-257622
PITA_00029	28	super4079	181669	232710	super4079:181669-232710
PITA_00030	29	scaffold41367	29195	31376	scaffold41367:29195-31376
PITA_00031	30	scaffold227420	16421	19653	scaffold227420:16421-19653
PITA_00033	31	C4562049	822	1242	C4562049:822-1242
PITA_00034	32	scaffold55492	518	3714	scaffold55492:518-3714
PITA_00035	33	C4110537	5324	6579	C4110537:5324-6579
PITA_00036	34	scaffold21074	400627	407194	scaffold21074:400627-407194
PITA_00037	35	scaffold25193	18375	18777	scaffold25193:18375-18777
PITA_00038	36	super3018	137600	185492	super3018:137600-185492
PITA_00039	37	scaffold119094	342897	357343	scaffold119094:342897-357343
PITA_00040	38	C4834083	12695	14416	C4834083:12695-14416
PITA_00041	39	scaffold76320	6768	7639	scaffold76320:6768-7639
PITA_00042	40	scaffold100470	173284	206747	scaffold100470:173284-206747
PITA_00043	41	scaffold39272	137583	192596	scaffold39272:137583-192596
PITA_00044	42	scaffold209826	87604	88697	scaffold209826:87604-88697
PITA_00045	43	scaffold150552	42449	43687	scaffold150552:42449-43687
PITA_00046	44	scaffold85179	116073	119643	scaffold85179:116073-119643
PITA_00047	45	scaffold49177	32822	34114	scaffold49177:32822-34114
PITA_00048	46	scaffold100164	260997	262253	scaffold100164:260997-262253
PITA_00049	47	C4704981	2842	4392	C4704981:2842-4392
PITA_00050	48	scaffold69865	68573	77725	scaffold69865:68573-77725
PITA_00051	49	scaffold98413	174209	174749	scaffold98413:174209-174749
PITA_00052	50	scaffold210861	46057	47157	scaffold210861:46057-47157
PITA_00053	51	C4635123	4338	4858	C4635123:4338-4858
PITA_00054	52	super2189	12024	74690	super2189:12024-74690
PITA_00058	53	super1649	206856	207571	super1649:206856-207571
PITA_00059	54	C4102765	984	3380	C4102765:984-3380
PITA_00060	55	C4224491	4422	6164	C4224491:4422-6164
PITA_00061	56	super2090	618914	660352	super2090:618914-660352
PITA_00062	57	scaffold200760	69264	93128	scaffold200760:69264-93128
PITA_00063	58	scaffold27688	15203	51697	scaffold27688:15203-51697
PITA_00064	59	C3896533	785	3446	C3896533:785-3446
PITA_00065	60	C4610469	3342	10427	C4610469:3342-10427
PITA_00066	61	C4897527	5209	29909	C4897527:5209-29909
PITA_00067	62	scaffold74734	69031	72656	scaffold74734:69031-72656
PITA_00068	63	scaffold50233	42666	48309	scaffold50233:42666-48309
PITA_00069	64	C5175555	129995	132422	C5175555:129995-132422
PITA_00070	65	scaffold121329	119699	120784	scaffold121329:119699-120784
PITA_00071	66	scaffold56369	55346	60590	scaffold56369:55346-60590
PITA_00073	67	C3998101	4058	4909	C3998101:4058-4909
PITA_00074	68	scaffold190850	25876	28761	scaffold190850:25876-28761
PITA_00075	69	scaffold40792	10563	24606	scaffold40792:10563-24606
PITA_00076	70	C4089829	30	1266	C4089829:30-1266
PITA_00077	71	super16	18484	18961	super16:18484-18961
PITA_00078	72	super2089	130794	131949	super2089:130794-131949
PITA_00079	73	scaffold179571	12984	15820	scaffold179571:12984-15820
PITA_00080	74	super703	355055	476770	super703:355055-476770
PITA_00081	75	scaffold37338	15316	26081	scaffold37338:15316-26081
PITA_00082	76	scaffold70743	24054	25939	scaffold70743:24054-25939
PITA_00083	77	scaffold218429	44112	44803	scaffold218429:44112-44803
PITA_00084	78	C4415829	12744	13292	C4415829:12744-13292
PITA_00085	79	super4133	250370	251550	super4133:250370-251550
PITA_00086	80	scaffold156921	49549	54394	scaffold156921:49549-54394
PITA_00087	81	scaffold33661	84944	85951	scaffold33661:84944-85951
PITA_00088	82	C3897663	523	1777	C3897663:523-1777
PITA_00089	83	scaffold53564	35817	37783	scaffold53564:35817-37783
PITA_00090	84	scaffold67282	152634	154058	scaffold67282:152634-154058
PITA_00091	85	scaffold72064	110327	133688	scaffold72064:110327-133688
PITA_00092	86	C5170553	114146	128493	C5170553:114146-128493
PITA_00093	87	C4668917	894	10325	C4668917:894-10325
PITA_00094	88	C4265673	9132	10619	C4265673:9132-10619
PITA_00095	89	scaffold19150	90581	92692	scaffold19150:90581-92692
PITA_00096	90	scaffold95748	57857	58390	scaffold95748:57857-58390
PITA_00097	91	scaffold42134	13207	14850	scaffold42134:13207-14850
PITA_00098	92	super28	1502	3488	super28:1502-3488
PITA_00099	93	scaffold22516	36286	40489	scaffold22516:36286-40489
PITA_00100	94	scaffold138965	49915	51252	scaffold138965:49915-51252
PITA_00101	95	scaffold76367	98325	106980	scaffold76367:98325-106980
PITA_00102	96	scaffold166298	12084	13271	scaffold166298:12084-13271
PITA_00103	97	scaffold81232	345475	347923	scaffold81232:345475-347923
PITA_00104	98	scaffold85756	13911	15915	scaffold85756:13911-15915
PITA_00105	99	scaffold94496	221349	222608	scaffold94496:221349-222608
PITA_00106	100	scaffold46026	90008	91361	scaffold46026:90008-91361
PITA_00107	101	super4365	14968	333174	super4365:14968-333174
PITA_00108	102	C4625577	17094	17974	C4625577:17094-17974
PITA_00109	103	scaffold158956	7359	8915	scaffold158956:7359-8915
PITA_00110	104	scaffold75903	173980	214173	scaffold75903:173980-214173
PITA_00111	105	scaffold27956	9552	13216	scaffold27956:9552-13216
PITA_00112	106	scaffold147375	27460	29077	scaffold147375:27460-29077
PITA_00113	107	scaffold70976	91037	92108	scaffold70976:91037-92108
PITA_00114	108	scaffold83661	77184	95880	scaffold83661:77184-95880
PITA_00115	109	C5145461	99602	100311	C5145461:99602-100311
PITA_00116	110	scaffold52386	19133	20525	scaffold52386:19133-20525
PITA_00117	111	scaffold2038	228728	229981	scaffold2038:228728-229981
PITA_00118	112	scaffold215327	9923	10906	scaffold215327:9923-10906
PITA_00119	113	scaffold46657	79881	171401	scaffold46657:79881-171401
PITA_00120	114	scaffold21240	25663	124398	scaffold21240:25663-124398
PITA_00121	115	C5135491	64728	85436	C5135491:64728-85436
PITA_00122	116	C4918377	2299	34793	C4918377:2299-34793
PITA_00123	117	super1612	147026	151431	super1612:147026-151431
PITA_00124	118	scaffold101917	56619	58183	scaffold101917:56619-58183
PITA_00125	119	C3891839	2413	2898	C3891839:2413-2898
PITA_00127	120	scaffold56845	7091	8224	scaffold56845:7091-8224
PITA_00128	121	scaffold32786	477009	479148	scaffold32786:477009-479148
PITA_00129	122	scaffold228642	50480	52413	scaffold228642:50480-52413
PITA_00130	123	C5147561	46965	50926	C5147561:46965-50926
PITA_00131	124	C4450689	4457	5113	C4450689:4457-5113
PITA_00132	125	scaffold124501	16664	17628	scaffold124501:16664-17628
PITA_00134	126	super3999	66537	117772	super3999:66537-117772
PITA_00135	127	scaffold115835	129029	131145	scaffold115835:129029-131145
PITA_00136	128	scaffold4052	348656	372674	scaffold4052:348656-372674
PITA_00137	129	super3502	11396	223461	super3502:11396-223461
PITA_00138	130	scaffold24249	17010	18479	scaffold24249:17010-18479
PITA_00140	131	scaffold111077	13855	178366	scaffold111077:13855-178366
PITA_00141	132	scaffold29989	117617	118143	scaffold29989:117617-118143
PITA_00142	133	scaffold96763	71087	71884	scaffold96763:71087-71884
PITA_00144	134	scaffold81213	8531	9454	scaffold81213:8531-9454
PITA_00145	135	scaffold95203	102682	106668	scaffold95203:102682-106668
PITA_00146	136	scaffold647	91130	103203	scaffold647:91130-103203
PITA_00147	137	scaffold34666	37236	39434	scaffold34666:37236-39434
PITA_00148	138	scaffold52293	56470	61018	scaffold52293:56470-61018
PITA_00150	139	super1012	504125	506576	super1012:504125-506576
PITA_00151	140	scaffold160393	17096	18009	scaffold160393:17096-18009
PITA_00152	141	scaffold35939	204487	206884	scaffold35939:204487-206884
PITA_00153	142	scaffold45399	184	623	scaffold45399:184-623
PITA_00154	143	C4770503	18415	19780	C4770503:18415-19780
PITA_00155	144	scaffold144548	41608	43139	scaffold144548:41608-43139
PITA_00156	145	C5062981	25842	28265	C5062981:25842-28265
PITA_00157	146	scaffold67543	137664	139197	scaffold67543:137664-139197
PITA_00158	147	scaffold209707	62438	63735	scaffold209707:62438-63735
PITA_00159	148	super3607	151367	151996	super3607:151367-151996
PITA_00160	149	scaffold21883	73499	76316	scaffold21883:73499-76316
PITA_00161	150	scaffold77712	147993	150468	scaffold77712:147993-150468
PITA_00162	151	C4627697	765	2150	C4627697:765-2150
PITA_00163	152	scaffold11160	54853	58806	scaffold11160:54853-58806
PITA_00164	153	scaffold217952	7735	9050	scaffold217952:7735-9050
PITA_00165	154	scaffold224081	14256	14771	scaffold224081:14256-14771
PITA_00166	155	scaffold79653	55723	58756	scaffold79653:55723-58756
PITA_00168	156	scaffold224307	14528	40743	scaffold224307:14528-40743
PITA_00169	157	super825	614462	859467	super825:614462-859467
PITA_00170	158	super4256	379745	390759	super4256:379745-390759
PITA_00171	159	scaffold44492	90827	92732	scaffold44492:90827-92732
PITA_00172	160	scaffold124118	2937	4540	scaffold124118:2937-4540
PITA_00173	161	C4527843	3520	4326	C4527843:3520-4326
PITA_00174	162	scaffold124229	177519	180666	scaffold124229:177519-180666
PITA_00175	163	C5150459	29102	30732	C5150459:29102-30732
PITA_00176	164	super3799	505140	529085	super3799:505140-529085
PITA_00177	165	scaffold182098	41357	43499	scaffold182098:41357-43499
PITA_00178	166	C5081165	1178	3875	C5081165:1178-3875
PITA_00179	167	scaffold158293	36749	38578	scaffold158293:36749-38578
PITA_00180	168	scaffold229814	296777	297956	scaffold229814:296777-297956
PITA_00181	169	C4281355	890	1519	C4281355:890-1519
PITA_00182	170	scaffold217371	21459	22509	scaffold217371:21459-22509
PITA_00183	171	scaffold178523	51194	52762	scaffold178523:51194-52762
PITA_00184	172	C4515877	2338	2937	C4515877:2338-2937
PITA_00185	173	scaffold196930	13685	14673	scaffold196930:13685-14673
PITA_00186	174	scaffold96582	103897	154367	scaffold96582:103897-154367
PITA_00187	175	scaffold80114	282816	372560	scaffold80114:282816-372560
PITA_00188	176	scaffold74053	25138	26039	scaffold74053:25138-26039
PITA_00189	177	C4546087	3725	4782	C4546087:3725-4782
PITA_00190	178	super3610	8890	50756	super3610:8890-50756
PITA_00191	179	scaffold102618	39344	41131	scaffold102618:39344-41131
PITA_00192	180	scaffold103820	133138	160748	scaffold103820:133138-160748
PITA_00193	181	scaffold226696	123721	125050	scaffold226696:123721-125050
PITA_00194	182	C5146117	65219	98936	C5146117:65219-98936
PITA_00195	183	scaffold73119	52261	52706	scaffold73119:52261-52706
PITA_00196	184	super1869	129101	504519	super1869:129101-504519
PITA_00197	185	scaffold41113	204477	246252	scaffold41113:204477-246252
PITA_00198	186	scaffold39822	238577	245889	scaffold39822:238577-245889
PITA_00199	187	scaffold71571	31391	32654	scaffold71571:31391-32654
PITA_00200	188	scaffold98110	122126	127216	scaffold98110:122126-127216
PITA_00201	189	C4979063	2275	3189	C4979063:2275-3189
PITA_00202	190	scaffold165232	28099	35508	scaffold165232:28099-35508
PITA_00203	191	scaffold21627	93961	94626	scaffold21627:93961-94626
PITA_00204	192	scaffold155399	150	753	scaffold155399:150-753
PITA_00205	193	super1237	348031	374526	super1237:348031-374526
PITA_00206	194	super4424	217865	252709	super4424:217865-252709
PITA_00207	195	super3473	367100	373689	super3473:367100-373689
PITA_00208	196	scaffold87548	267088	477112	scaffold87548:267088-477112
PITA_00210	197	scaffold68937	37740	41064	scaffold68937:37740-41064
PITA_00211	198	scaffold46565	5233	6267	scaffold46565:5233-6267
PITA_00212	199	scaffold5459	150402	188008	scaffold5459:150402-188008
PITA_00213	200	scaffold192765	25323	28838	scaffold192765:25323-28838
PITA_00214	201	C4803983	16904	17634	C4803983:16904-17634
PITA_00215	202	scaffold201648	138808	139427	scaffold201648:138808-139427
PITA_00216	203	scaffold104746	69379	71357	scaffold104746:69379-71357
PITA_00217	204	scaffold59431	264952	322952	scaffold59431:264952-322952
PITA_00218	205	scaffold45400	67610	68442	scaffold45400:67610-68442
PITA_00219	206	C3828353	2913	4014	C3828353:2913-4014
PITA_00220	207	C4774237	8415	13593	C4774237:8415-13593
PITA_00221	208	scaffold195340	16642	17283	scaffold195340:16642-17283
PITA_00222	209	C4865877	2996	3501	C4865877:2996-3501
PITA_00223	210	scaffold158712	145335	150111	scaffold158712:145335-150111
PITA_00224	211	C4284739	8675	10923	C4284739:8675-10923
PITA_00225	212	scaffold145320	46604	49123	scaffold145320:46604-49123
PITA_00226	213	super288	300378	303549	super288:300378-303549
PITA_00227	214	C4690023	11013	11769	C4690023:11013-11769
PITA_00228	215	C4097255	1526	3572	C4097255:1526-3572
PITA_00229	216	scaffold385	14126	15470	scaffold385:14126-15470
PITA_00230	217	scaffold107552	83483	84614	scaffold107552:83483-84614
PITA_00231	218	scaffold23542	18435	19721	scaffold23542:18435-19721
PITA_00232	219	C4557099	552	3086	C4557099:552-3086
PITA_00233	220	super4038	96059	110318	super4038:96059-110318
PITA_00234	221	scaffold215409	166441	167840	scaffold215409:166441-167840
PITA_00235	222	C4842697	11565	12112	C4842697:11565-12112
PITA_00236	223	scaffold43966	9918	10732	scaffold43966:9918-10732
PITA_00237	224	scaffold196054	32991	34517	scaffold196054:32991-34517
PITA_00238	225	scaffold130594	65708	69158	scaffold130594:65708-69158
PITA_00239	226	C4372315	5708	7813	C4372315:5708-7813
PITA_00240	227	scaffold223747	15363	16115	scaffold223747:15363-16115
PITA_00241	228	scaffold227884	34573	36423	scaffold227884:34573-36423
PITA_00242	229	scaffold129172	111754	114088	scaffold129172:111754-114088
PITA_00243	230	scaffold168814	40167	43314	scaffold168814:40167-43314
PITA_00244	231	super3376	22246	86146	super3376:22246-86146
PITA_00245	232	C4772303	13059	18005	C4772303:13059-18005
PITA_00246	233	scaffold7455	96388	98603	scaffold7455:96388-98603
PITA_00247	234	scaffold210559	1	1244	scaffold210559:1-1244
PITA_00248	235	scaffold22448	109494	122090	scaffold22448:109494-122090
PITA_00249	236	scaffold203940	12724	39547	scaffold203940:12724-39547
PITA_00250	237	C4909581	13027	14417	C4909581:13027-14417
PITA_00251	238	C4659645	6019	6929	C4659645:6019-6929
PITA_00252	239	scaffold143136	69593	70652	scaffold143136:69593-70652
PITA_00253	240	scaffold230516	212809	214093	scaffold230516:212809-214093
PITA_00254	241	scaffold5300	186321	192229	scaffold5300:186321-192229
PITA_00255	242	C5144187	58039	59080	C5144187:58039-59080
PITA_00256	243	scaffold179882	100961	103326	scaffold179882:100961-103326
PITA_00257	244	scaffold88158	5823	6416	scaffold88158:5823-6416
PITA_00258	245	C5174513	147330	149738	C5174513:147330-149738
PITA_00259	246	scaffold227795	71340	75319	scaffold227795:71340-75319
PITA_00260	247	scaffold46723	181575	190547	scaffold46723:181575-190547
PITA_00261	248	scaffold21335	87411	198019	scaffold21335:87411-198019
PITA_00262	249	scaffold101726	8090	9745	scaffold101726:8090-9745
PITA_00263	250	scaffold179844	65596	67074	scaffold179844:65596-67074
PITA_00264	251	scaffold76738	79990	93685	scaffold76738:79990-93685
PITA_00265	252	scaffold78577	63677	65985	scaffold78577:63677-65985
PITA_00267	253	scaffold95947	19462	20610	scaffold95947:19462-20610
PITA_00268	254	scaffold30583	78866	112027	scaffold30583:78866-112027
PITA_00269	255	scaffold67249	64853	66738	scaffold67249:64853-66738
PITA_00270	256	scaffold135449	23035	23557	scaffold135449:23035-23557
PITA_00271	257	scaffold21724	10499	11328	scaffold21724:10499-11328
PITA_00272	258	super642	202553	206033	super642:202553-206033
PITA_00273	259	super2592	268305	365369	super2592:268305-365369
PITA_00274	260	scaffold82606	116734	139209	scaffold82606:116734-139209
PITA_00275	261	scaffold141882	75197	76724	scaffold141882:75197-76724
PITA_00276	262	C5149195	38311	48689	C5149195:38311-48689
PITA_00277	263	scaffold77841	193347	197763	scaffold77841:193347-197763
PITA_00278	264	scaffold215276	5129	5892	scaffold215276:5129-5892
PITA_00279	265	scaffold43951	80167	81462	scaffold43951:80167-81462
PITA_00280	266	scaffold73173	54909	56361	scaffold73173:54909-56361
PITA_00281	267	scaffold70264	22328	23576	scaffold70264:22328-23576
PITA_00282	268	C3828459	2224	3509	C3828459:2224-3509
PITA_00283	269	scaffold123852	7903	8623	scaffold123852:7903-8623
PITA_00284	270	C4714545	21486	23959	C4714545:21486-23959
PITA_00286	271	scaffold5714	162523	165541	scaffold5714:162523-165541
PITA_00287	272	C4549881	1881	7898	C4549881:1881-7898
PITA_00288	273	super653	706670	709011	super653:706670-709011
PITA_00289	274	scaffold199606	29822	33679	scaffold199606:29822-33679
PITA_00290	275	scaffold225359	179113	179651	scaffold225359:179113-179651
PITA_00291	276	C5106137	58795	62485	C5106137:58795-62485
PITA_00292	277	super4313	250469	374085	super4313:250469-374085
PITA_00293	278	C4360759	2684	3583	C4360759:2684-3583
PITA_00294	279	scaffold223811	15555	16166	scaffold223811:15555-16166
PITA_00296	280	scaffold90248	18642	22439	scaffold90248:18642-22439
PITA_00297	281	scaffold103142	69410	122707	scaffold103142:69410-122707
PITA_00298	282	scaffold21912	157875	159554	scaffold21912:157875-159554
PITA_00299	283	C4364447	5392	7039	C4364447:5392-7039
PITA_00300	284	C4051691	2636	3240	C4051691:2636-3240
PITA_00301	285	C5008303	36711	40778	C5008303:36711-40778
