gene_ID	OF_ID	seqname	start	end	gea_gene
Qrob_P0000010.2	0	Qrob_Chr10	13407906	13409116	Qrob_Chr10:13407906-13409116
Qrob_P0000020.2	1	Qrob_Chr10	13430177	13434100	Qrob_Chr10:13430177-13434100
Qrob_P0000030.2	2	Qrob_Chr10	13460709	13463047	Qrob_Chr10:13460709-13463047
Qrob_P0000290.2	3	Qrob_Chr01	21470613	21471928	Qrob_Chr01:21470613-21471928
Qrob_P0000440.2	4	Qrob_Chr01	22264211	22269953	Qrob_Chr01:22264211-22269953
Qrob_P0000460.2	5	Qrob_Chr01	22290873	22293984	Qrob_Chr01:22290873-22293984
Qrob_P0000590.2	6	Qrob_Chr01	22648491	22650967	Qrob_Chr01:22648491-22650967
Qrob_P0000610.2	7	Qrob_Chr01	22745442	22745781	Qrob_Chr01:22745442-22745781
Qrob_P0000650.2	8	Qrob_Chr01	23265446	23270004	Qrob_Chr01:23265446-23270004
Qrob_P0000690.2	9	Qrob_Chr01	23411945	23427156	Qrob_Chr01:23411945-23427156
Qrob_P0000720.2	10	Qrob_Chr01	23470771	23473109	Qrob_Chr01:23470771-23473109
Qrob_P0000730.2	11	Qrob_Chr01	23489160	23491693	Qrob_Chr01:23489160-23491693
Qrob_P0000750.2	12	Qrob_Chr01	23567103	23570115	Qrob_Chr01:23567103-23570115
Qrob_P0000840.2	13	Qrob_Chr01	23697705	23702912	Qrob_Chr01:23697705-23702912
Qrob_P0000850.2	14	Qrob_Chr01	23718785	23723711	Qrob_Chr01:23718785-23723711
Qrob_P0000870.2	15	Qrob_Chr01	23784289	23786576	Qrob_Chr01:23784289-23786576
Qrob_P0000880.2	16	Qrob_Chr01	23858715	23860871	Qrob_Chr01:23858715-23860871
Qrob_P0000900.2	17	Qrob_Chr01	23916003	23919445	Qrob_Chr01:23916003-23919445
Qrob_P0000930.2	18	Qrob_Chr01	24046646	24053567	Qrob_Chr01:24046646-24053567
Qrob_P0000940.2	19	Qrob_Chr01	24101974	24104292	Qrob_Chr01:24101974-24104292
Qrob_P0000950.2	20	Qrob_Chr01	24110793	24112840	Qrob_Chr01:24110793-24112840
Qrob_P0000960.2	21	Qrob_Chr01	24183550	24185632	Qrob_Chr01:24183550-24185632
Qrob_P0000970.2	22	Qrob_Chr01	24268726	24272245	Qrob_Chr01:24268726-24272245
Qrob_P0000980.2	23	Qrob_Chr01	24279130	24281027	Qrob_Chr01:24279130-24281027
Qrob_P0000990.2	24	Qrob_Chr01	24281872	24284969	Qrob_Chr01:24281872-24284969
Qrob_P0001000.2	25	Qrob_Chr01	24360589	24361752	Qrob_Chr01:24360589-24361752
Qrob_P0001030.2	26	Qrob_Chr01	24477095	24478620	Qrob_Chr01:24477095-24478620
Qrob_P0001040.2	27	Qrob_Chr01	24486682	24490629	Qrob_Chr01:24486682-24490629
Qrob_P0001060.2	28	Qrob_Chr01	24513044	24513862	Qrob_Chr01:24513044-24513862
Qrob_P0001070.2	29	Qrob_Chr01	24521792	24522811	Qrob_Chr01:24521792-24522811
Qrob_P0001110.2	30	Qrob_Chr01	24556289	24559442	Qrob_Chr01:24556289-24559442
Qrob_P0001120.2	31	Qrob_Chr01	24565065	24566641	Qrob_Chr01:24565065-24566641
Qrob_P0001150.2	32	Qrob_Chr01	24600931	24602605	Qrob_Chr01:24600931-24602605
Qrob_P0001160.2	33	Qrob_Chr01	24603701	24604901	Qrob_Chr01:24603701-24604901
Qrob_P0001170.2	34	Qrob_Chr01	24639883	24641810	Qrob_Chr01:24639883-24641810
Qrob_P0001200.2	35	Qrob_Chr01	24656296	24656487	Qrob_Chr01:24656296-24656487
Qrob_P0001220.2	36	Qrob_Chr01	24671543	24672650	Qrob_Chr01:24671543-24672650
Qrob_P0001230.2	37	Qrob_Chr01	24688075	24688806	Qrob_Chr01:24688075-24688806
Qrob_P0001270.2	38	Qrob_Chr01	24723661	24724143	Qrob_Chr01:24723661-24724143
Qrob_P0001280.2	39	Qrob_Chr01	24731967	24733657	Qrob_Chr01:24731967-24733657
Qrob_P0001290.2	40	Qrob_Chr01	24769056	24771719	Qrob_Chr01:24769056-24771719
Qrob_P0001310.2	41	Qrob_Chr01	24786480	24788472	Qrob_Chr01:24786480-24788472
Qrob_P0001330.2	42	Qrob_Chr01	24792640	24801002	Qrob_Chr01:24792640-24801002
Qrob_P0001370.2	43	Qrob_Chr01	24810843	24812107	Qrob_Chr01:24810843-24812107
Qrob_P0001380.2	44	Qrob_Chr01	24813417	24816407	Qrob_Chr01:24813417-24816407
Qrob_P0001410.2	45	Qrob_Chr01	24829218	24830471	Qrob_Chr01:24829218-24830471
Qrob_P0001420.2	46	Qrob_Chr01	24846539	24848116	Qrob_Chr01:24846539-24848116
Qrob_P0001430.2	47	Qrob_Chr01	24850348	24853418	Qrob_Chr01:24850348-24853418
Qrob_P0001460.2	48	Qrob_Chr01	24907935	24913612	Qrob_Chr01:24907935-24913612
Qrob_P0001470.2	49	Qrob_Chr01	24923692	24927355	Qrob_Chr01:24923692-24927355
Qrob_P0001480.2	50	Qrob_Chr01	24994918	25002050	Qrob_Chr01:24994918-25002050
Qrob_P0001490.2	51	Qrob_Chr01	25012169	25014544	Qrob_Chr01:25012169-25014544
Qrob_P0001500.2	52	Qrob_Chr01	25036326	25036952	Qrob_Chr01:25036326-25036952
Qrob_P0001510.2	53	Qrob_Chr01	25078363	25079025	Qrob_Chr01:25078363-25079025
