gene_ID	OF_ID	seqname	start	end	gea_gene
AMATA_chromosomes_00001	0	Atub_Scaffold_1	5461	5544	Atub_Scaffold_1:5461-5544
AMATA_chromosomes_00002	1	Atub_Scaffold_1	75844	76527	Atub_Scaffold_1:75844-76527
AMATA_chromosomes_00003	2	Atub_Scaffold_1	81878	90842	Atub_Scaffold_1:81878-90842
AMATA_chromosomes_00004	3	Atub_Scaffold_1	91420	96308	Atub_Scaffold_1:91420-96308
AMATA_chromosomes_00005	4	Atub_Scaffold_1	104147	104641	Atub_Scaffold_1:104147-104641
AMATA_chromosomes_00006	5	Atub_Scaffold_1	108544	109044	Atub_Scaffold_1:108544-109044
AMATA_chromosomes_00007	6	Atub_Scaffold_1	114109	115359	Atub_Scaffold_1:114109-115359
AMATA_chromosomes_00008	7	Atub_Scaffold_1	124053	124271	Atub_Scaffold_1:124053-124271
AMATA_chromosomes_00009	8	Atub_Scaffold_1	127742	128905	Atub_Scaffold_1:127742-128905
AMATA_chromosomes_00010	9	Atub_Scaffold_1	151724	153129	Atub_Scaffold_1:151724-153129
AMATA_chromosomes_00011	10	Atub_Scaffold_1	156569	156958	Atub_Scaffold_1:156569-156958
AMATA_chromosomes_00012	11	Atub_Scaffold_1	158304	160854	Atub_Scaffold_1:158304-160854
AMATA_chromosomes_00013	12	Atub_Scaffold_1	164320	169267	Atub_Scaffold_1:164320-169267
AMATA_chromosomes_00014	13	Atub_Scaffold_1	170398	170838	Atub_Scaffold_1:170398-170838
AMATA_chromosomes_00015	14	Atub_Scaffold_1	174882	184502	Atub_Scaffold_1:174882-184502
AMATA_chromosomes_00016	15	Atub_Scaffold_1	187364	187891	Atub_Scaffold_1:187364-187891
AMATA_chromosomes_00017	16	Atub_Scaffold_1	192981	202955	Atub_Scaffold_1:192981-202955
AMATA_chromosomes_00018	17	Atub_Scaffold_1	203346	210265	Atub_Scaffold_1:203346-210265
AMATA_chromosomes_00019	18	Atub_Scaffold_1	213101	214344	Atub_Scaffold_1:213101-214344
AMATA_chromosomes_00020	19	Atub_Scaffold_1	217486	224308	Atub_Scaffold_1:217486-224308
AMATA_chromosomes_00021	20	Atub_Scaffold_1	225469	231522	Atub_Scaffold_1:225469-231522
AMATA_chromosomes_00022	21	Atub_Scaffold_1	233146	239988	Atub_Scaffold_1:233146-239988
AMATA_chromosomes_00023	22	Atub_Scaffold_1	251765	255863	Atub_Scaffold_1:251765-255863
AMATA_chromosomes_00024	23	Atub_Scaffold_1	257075	260749	Atub_Scaffold_1:257075-260749
AMATA_chromosomes_00025	24	Atub_Scaffold_1	262610	270016	Atub_Scaffold_1:262610-270016
AMATA_chromosomes_00026	25	Atub_Scaffold_1	272561	282147	Atub_Scaffold_1:272561-282147
AMATA_chromosomes_00027	26	Atub_Scaffold_1	282431	291336	Atub_Scaffold_1:282431-291336
AMATA_chromosomes_00028	27	Atub_Scaffold_1	293206	293430	Atub_Scaffold_1:293206-293430
AMATA_chromosomes_00029	28	Atub_Scaffold_1	297785	304949	Atub_Scaffold_1:297785-304949
AMATA_chromosomes_00030	29	Atub_Scaffold_1	336136	338104	Atub_Scaffold_1:336136-338104
AMATA_chromosomes_00031	30	Atub_Scaffold_1	339341	346822	Atub_Scaffold_1:339341-346822
AMATA_chromosomes_00032	31	Atub_Scaffold_1	356970	359398	Atub_Scaffold_1:356970-359398
AMATA_chromosomes_00033	32	Atub_Scaffold_1	360853	365749	Atub_Scaffold_1:360853-365749
AMATA_chromosomes_00034	33	Atub_Scaffold_1	367345	372238	Atub_Scaffold_1:367345-372238
AMATA_chromosomes_00035	34	Atub_Scaffold_1	374552	379375	Atub_Scaffold_1:374552-379375
AMATA_chromosomes_00036	35	Atub_Scaffold_1	387871	393294	Atub_Scaffold_1:387871-393294
AMATA_chromosomes_00037	36	Atub_Scaffold_1	393989	398626	Atub_Scaffold_1:393989-398626
AMATA_chromosomes_00038	37	Atub_Scaffold_1	402517	405206	Atub_Scaffold_1:402517-405206
AMATA_chromosomes_00039	38	Atub_Scaffold_1	405360	408150	Atub_Scaffold_1:405360-408150
AMATA_chromosomes_00040	39	Atub_Scaffold_1	413809	418803	Atub_Scaffold_1:413809-418803
AMATA_chromosomes_00041	40	Atub_Scaffold_1	419557	425823	Atub_Scaffold_1:419557-425823
AMATA_chromosomes_00042	41	Atub_Scaffold_1	428816	440762	Atub_Scaffold_1:428816-440762
AMATA_chromosomes_00043	42	Atub_Scaffold_1	443387	452460	Atub_Scaffold_1:443387-452460
AMATA_chromosomes_00044	43	Atub_Scaffold_1	459716	461802	Atub_Scaffold_1:459716-461802
AMATA_chromosomes_00045	44	Atub_Scaffold_1	463552	473648	Atub_Scaffold_1:463552-473648
AMATA_chromosomes_00046	45	Atub_Scaffold_1	475212	475712	Atub_Scaffold_1:475212-475712
AMATA_chromosomes_00047	46	Atub_Scaffold_1	483090	484715	Atub_Scaffold_1:483090-484715
AMATA_chromosomes_00048	47	Atub_Scaffold_1	488483	494221	Atub_Scaffold_1:488483-494221
AMATA_chromosomes_00049	48	Atub_Scaffold_1	494227	507637	Atub_Scaffold_1:494227-507637
AMATA_chromosomes_00050	49	Atub_Scaffold_1	509436	515742	Atub_Scaffold_1:509436-515742
AMATA_chromosomes_00051	50	Atub_Scaffold_1	517121	519484	Atub_Scaffold_1:517121-519484
AMATA_chromosomes_00052	51	Atub_Scaffold_1	524833	531656	Atub_Scaffold_1:524833-531656
AMATA_chromosomes_00053	52	Atub_Scaffold_1	532688	536511	Atub_Scaffold_1:532688-536511
AMATA_chromosomes_00054	53	Atub_Scaffold_1	537516	546263	Atub_Scaffold_1:537516-546263
AMATA_chromosomes_00055	54	Atub_Scaffold_1	551092	563345	Atub_Scaffold_1:551092-563345
AMATA_chromosomes_00056	55	Atub_Scaffold_1	563719	568635	Atub_Scaffold_1:563719-568635
AMATA_chromosomes_00057	56	Atub_Scaffold_1	570326	571681	Atub_Scaffold_1:570326-571681
AMATA_chromosomes_00058	57	Atub_Scaffold_1	582976	589544	Atub_Scaffold_1:582976-589544
AMATA_chromosomes_00059	58	Atub_Scaffold_1	590827	595356	Atub_Scaffold_1:590827-595356
AMATA_chromosomes_00060	59	Atub_Scaffold_1	596451	601459	Atub_Scaffold_1:596451-601459
AMATA_chromosomes_00061	60	Atub_Scaffold_1	605193	606276	Atub_Scaffold_1:605193-606276
AMATA_chromosomes_00062	61	Atub_Scaffold_1	607374	608795	Atub_Scaffold_1:607374-608795
AMATA_chromosomes_00063	62	Atub_Scaffold_1	611369	613590	Atub_Scaffold_1:611369-613590
AMATA_chromosomes_00064	63	Atub_Scaffold_1	620542	628220	Atub_Scaffold_1:620542-628220
AMATA_chromosomes_00065	64	Atub_Scaffold_1	638931	647815	Atub_Scaffold_1:638931-647815
AMATA_chromosomes_00066	65	Atub_Scaffold_1	654702	656531	Atub_Scaffold_1:654702-656531
AMATA_chromosomes_00067	66	Atub_Scaffold_1	661848	663866	Atub_Scaffold_1:661848-663866
AMATA_chromosomes_00068	67	Atub_Scaffold_1	666398	673234	Atub_Scaffold_1:666398-673234
AMATA_chromosomes_00069	68	Atub_Scaffold_1	675731	689695	Atub_Scaffold_1:675731-689695
AMATA_chromosomes_00070	69	Atub_Scaffold_1	700776	707398	Atub_Scaffold_1:700776-707398
AMATA_chromosomes_00071	70	Atub_Scaffold_1	708743	708956	Atub_Scaffold_1:708743-708956
AMATA_chromosomes_00072	71	Atub_Scaffold_1	710029	712818	Atub_Scaffold_1:710029-712818
AMATA_chromosomes_00073	72	Atub_Scaffold_1	714313	715386	Atub_Scaffold_1:714313-715386
AMATA_chromosomes_00074	73	Atub_Scaffold_1	716045	716964	Atub_Scaffold_1:716045-716964
AMATA_chromosomes_00075	74	Atub_Scaffold_1	720547	722711	Atub_Scaffold_1:720547-722711
AMATA_chromosomes_00076	75	Atub_Scaffold_1	722723	728832	Atub_Scaffold_1:722723-728832
AMATA_chromosomes_00077	76	Atub_Scaffold_1	730191	730559	Atub_Scaffold_1:730191-730559
AMATA_chromosomes_00078	77	Atub_Scaffold_1	736187	742173	Atub_Scaffold_1:736187-742173
AMATA_chromosomes_00079	78	Atub_Scaffold_1	748863	753159	Atub_Scaffold_1:748863-753159
AMATA_chromosomes_00080	79	Atub_Scaffold_1	754254	755582	Atub_Scaffold_1:754254-755582
AMATA_chromosomes_00081	80	Atub_Scaffold_1	763673	767082	Atub_Scaffold_1:763673-767082
AMATA_chromosomes_00082	81	Atub_Scaffold_1	768123	769245	Atub_Scaffold_1:768123-769245
AMATA_chromosomes_00083	82	Atub_Scaffold_1	771082	779010	Atub_Scaffold_1:771082-779010
AMATA_chromosomes_00084	83	Atub_Scaffold_1	779212	783859	Atub_Scaffold_1:779212-783859
AMATA_chromosomes_00085	84	Atub_Scaffold_1	798617	798847	Atub_Scaffold_1:798617-798847
AMATA_chromosomes_00086	85	Atub_Scaffold_1	819310	819540	Atub_Scaffold_1:819310-819540
AMATA_chromosomes_00087	86	Atub_Scaffold_1	837041	837271	Atub_Scaffold_1:837041-837271
AMATA_chromosomes_00088	87	Atub_Scaffold_1	847320	850207	Atub_Scaffold_1:847320-850207
AMATA_chromosomes_00089	88	Atub_Scaffold_1	866017	866322	Atub_Scaffold_1:866017-866322
AMATA_chromosomes_00090	89	Atub_Scaffold_1	901261	901470	Atub_Scaffold_1:901261-901470
