gene_ID	OF_ID	seqname	start	end	gea_gene
gene0	24439	Alyr_NW_003302555.1	5	2879	Alyr_NW_003302555.1:5-2879
gene1	24440	Alyr_NW_003302555.1	3313	6224	Alyr_NW_003302555.1:3313-6224
gene10	24448	Alyr_NW_003302555.1	32993	35072	Alyr_NW_003302555.1:32993-35072
gene100	24527	Alyr_NW_003302555.1	354396	355963	Alyr_NW_003302555.1:354396-355963
gene1000	25362	Alyr_NW_003302555.1	3646414	3652139	Alyr_NW_003302555.1:3646414-3652139
gene10000	10925	Alyr_NW_003302553.1	4197459	4200529	Alyr_NW_003302553.1:4197459-4200529
gene10001	10926	Alyr_NW_003302553.1	4200974	4203746	Alyr_NW_003302553.1:4200974-4203746
gene10002	10927	Alyr_NW_003302553.1	4204498	4206127	Alyr_NW_003302553.1:4204498-4206127
gene10003	10928	Alyr_NW_003302553.1	4209620	4210366	Alyr_NW_003302553.1:4209620-4210366
gene10004	10929	Alyr_NW_003302553.1	4216176	4219100	Alyr_NW_003302553.1:4216176-4219100
gene10005	10930	Alyr_NW_003302553.1	4219426	4223536	Alyr_NW_003302553.1:4219426-4223536
gene10007	10931	Alyr_NW_003302553.1	4225947	4229080	Alyr_NW_003302553.1:4225947-4229080
gene10008	10932	Alyr_NW_003302553.1	4229146	4234985	Alyr_NW_003302553.1:4229146-4234985
gene10009	10933	Alyr_NW_003302553.1	4236543	4238093	Alyr_NW_003302553.1:4236543-4238093
gene1001	25363	Alyr_NW_003302555.1	3652898	3655118	Alyr_NW_003302555.1:3652898-3655118
gene10010	10934	Alyr_NW_003302553.1	4238603	4240441	Alyr_NW_003302553.1:4238603-4240441
gene10011	10935	Alyr_NW_003302553.1	4241077	4243308	Alyr_NW_003302553.1:4241077-4243308
gene10015	10936	Alyr_NW_003302553.1	4248094	4249547	Alyr_NW_003302553.1:4248094-4249547
gene10016	10937	Alyr_NW_003302553.1	4249629	4250946	Alyr_NW_003302553.1:4249629-4250946
gene10017	10938	Alyr_NW_003302553.1	4251398	4252840	Alyr_NW_003302553.1:4251398-4252840
gene10018	10939	Alyr_NW_003302553.1	4253496	4258163	Alyr_NW_003302553.1:4253496-4258163
gene10019	10940	Alyr_NW_003302553.1	4261163	4262347	Alyr_NW_003302553.1:4261163-4262347
gene1002	25364	Alyr_NW_003302555.1	3655643	3657346	Alyr_NW_003302555.1:3655643-3657346
gene10020	10941	Alyr_NW_003302553.1	4262419	4263946	Alyr_NW_003302553.1:4262419-4263946
gene10021	10942	Alyr_NW_003302553.1	4263844	4265548	Alyr_NW_003302553.1:4263844-4265548
gene10022	10943	Alyr_NW_003302553.1	4265609	4267414	Alyr_NW_003302553.1:4265609-4267414
gene10023	10944	Alyr_NW_003302553.1	4267514	4273438	Alyr_NW_003302553.1:4267514-4273438
gene10024	10945	Alyr_NW_003302553.1	4273787	4277459	Alyr_NW_003302553.1:4273787-4277459
gene10025	10946	Alyr_NW_003302553.1	4277562	4280004	Alyr_NW_003302553.1:4277562-4280004
gene10026	10947	Alyr_NW_003302553.1	4280638	4282464	Alyr_NW_003302553.1:4280638-4282464
gene10027	10948	Alyr_NW_003302553.1	4282487	4289802	Alyr_NW_003302553.1:4282487-4289802
gene10028	10949	Alyr_NW_003302553.1	4290081	4294525	Alyr_NW_003302553.1:4290081-4294525
gene10029	10950	Alyr_NW_003302553.1	4295892	4298585	Alyr_NW_003302553.1:4295892-4298585
gene1003	25365	Alyr_NW_003302555.1	3657423	3658707	Alyr_NW_003302555.1:3657423-3658707
gene10030	10951	Alyr_NW_003302553.1	4298495	4301731	Alyr_NW_003302553.1:4298495-4301731
gene10031	10952	Alyr_NW_003302553.1	4302322	4304718	Alyr_NW_003302553.1:4302322-4304718
gene10032	10953	Alyr_NW_003302553.1	4304913	4309657	Alyr_NW_003302553.1:4304913-4309657
gene10034	10954	Alyr_NW_003302553.1	4313268	4316325	Alyr_NW_003302553.1:4313268-4316325
gene10035	10955	Alyr_NW_003302553.1	4315444	4319064	Alyr_NW_003302553.1:4315444-4319064
gene10037	10956	Alyr_NW_003302553.1	4323645	4325600	Alyr_NW_003302553.1:4323645-4325600
gene10038	10957	Alyr_NW_003302553.1	4330235	4332378	Alyr_NW_003302553.1:4330235-4332378
gene10039	10958	Alyr_NW_003302553.1	4332592	4335431	Alyr_NW_003302553.1:4332592-4335431
gene1004	25366	Alyr_NW_003302555.1	3658786	3662775	Alyr_NW_003302555.1:3658786-3662775
gene10040	10959	Alyr_NW_003302553.1	4335780	4337583	Alyr_NW_003302553.1:4335780-4337583
gene10041	10960	Alyr_NW_003302553.1	4337727	4340128	Alyr_NW_003302553.1:4337727-4340128
gene10042	10961	Alyr_NW_003302553.1	4340249	4343252	Alyr_NW_003302553.1:4340249-4343252
gene10043	10962	Alyr_NW_003302553.1	4343388	4345083	Alyr_NW_003302553.1:4343388-4345083
gene10044	10963	Alyr_NW_003302553.1	4345486	4348233	Alyr_NW_003302553.1:4345486-4348233
gene10045	10964	Alyr_NW_003302553.1	4348789	4349788	Alyr_NW_003302553.1:4348789-4349788
gene10046	10965	Alyr_NW_003302553.1	4349733	4352137	Alyr_NW_003302553.1:4349733-4352137
gene10047	10966	Alyr_NW_003302553.1	4352420	4354694	Alyr_NW_003302553.1:4352420-4354694
gene10048	10967	Alyr_NW_003302553.1	4354498	4355732	Alyr_NW_003302553.1:4354498-4355732
gene10049	10968	Alyr_NW_003302553.1	4356678	4358199	Alyr_NW_003302553.1:4356678-4358199
gene1005	25367	Alyr_NW_003302555.1	3662853	3663940	Alyr_NW_003302555.1:3662853-3663940
gene10050	10969	Alyr_NW_003302553.1	4363174	4364924	Alyr_NW_003302553.1:4363174-4364924
gene10051	10970	Alyr_NW_003302553.1	4364924	4368349	Alyr_NW_003302553.1:4364924-4368349
gene10052	10971	Alyr_NW_003302553.1	4368734	4370626	Alyr_NW_003302553.1:4368734-4370626
gene10054	10972	Alyr_NW_003302553.1	4378999	4380028	Alyr_NW_003302553.1:4378999-4380028
gene10055	10973	Alyr_NW_003302553.1	4382203	4384030	Alyr_NW_003302553.1:4382203-4384030
gene10056	10974	Alyr_NW_003302553.1	4384238	4386211	Alyr_NW_003302553.1:4384238-4386211
gene10058	10975	Alyr_NW_003302553.1	4388964	4390538	Alyr_NW_003302553.1:4388964-4390538
gene10059	10976	Alyr_NW_003302553.1	4390674	4391837	Alyr_NW_003302553.1:4390674-4391837
gene1006	25368	Alyr_NW_003302555.1	3664104	3668015	Alyr_NW_003302555.1:3664104-3668015
gene10060	10977	Alyr_NW_003302553.1	4391882	4394197	Alyr_NW_003302553.1:4391882-4394197
gene10061	10978	Alyr_NW_003302553.1	4402605	4405962	Alyr_NW_003302553.1:4402605-4405962
gene10062	10979	Alyr_NW_003302553.1	4406145	4406654	Alyr_NW_003302553.1:4406145-4406654
gene10063	10980	Alyr_NW_003302553.1	4407313	4409764	Alyr_NW_003302553.1:4407313-4409764
gene10065	10981	Alyr_NW_003302553.1	4415051	4416222	Alyr_NW_003302553.1:4415051-4416222
gene10066	10982	Alyr_NW_003302553.1	4418529	4420542	Alyr_NW_003302553.1:4418529-4420542
gene10067	10983	Alyr_NW_003302553.1	4420770	4421851	Alyr_NW_003302553.1:4420770-4421851
gene10068	10984	Alyr_NW_003302553.1	4428148	4431126	Alyr_NW_003302553.1:4428148-4431126
gene10069	10985	Alyr_NW_003302553.1	4431595	4432835	Alyr_NW_003302553.1:4431595-4432835
gene1007	25369	Alyr_NW_003302555.1	3668417	3669211	Alyr_NW_003302555.1:3668417-3669211
gene10070	10986	Alyr_NW_003302553.1	4433908	4435860	Alyr_NW_003302553.1:4433908-4435860
gene10071	10987	Alyr_NW_003302553.1	4435829	4438001	Alyr_NW_003302553.1:4435829-4438001
gene10072	10988	Alyr_NW_003302553.1	4438722	4442286	Alyr_NW_003302553.1:4438722-4442286
gene10073	10989	Alyr_NW_003302553.1	4443379	4445471	Alyr_NW_003302553.1:4443379-4445471
gene10074	10990	Alyr_NW_003302553.1	4445540	4447463	Alyr_NW_003302553.1:4445540-4447463
gene10075	10991	Alyr_NW_003302553.1	4448162	4450677	Alyr_NW_003302553.1:4448162-4450677
gene10076	10992	Alyr_NW_003302553.1	4451291	4454481	Alyr_NW_003302553.1:4451291-4454481
gene10077	10993	Alyr_NW_003302553.1	4455646	4456458	Alyr_NW_003302553.1:4455646-4456458
gene10078	10994	Alyr_NW_003302553.1	4457007	4458692	Alyr_NW_003302553.1:4457007-4458692
gene10079	10995	Alyr_NW_003302553.1	4459965	4460826	Alyr_NW_003302553.1:4459965-4460826
gene1008	25370	Alyr_NW_003302555.1	3669320	3670911	Alyr_NW_003302555.1:3669320-3670911
gene10081	10996	Alyr_NW_003302553.1	4462478	4472160	Alyr_NW_003302553.1:4462478-4472160
gene10082	10997	Alyr_NW_003302553.1	4474464	4476667	Alyr_NW_003302553.1:4474464-4476667
gene10084	10998	Alyr_NW_003302553.1	4480182	4482828	Alyr_NW_003302553.1:4480182-4482828
gene10085	10999	Alyr_NW_003302553.1	4482914	4485786	Alyr_NW_003302553.1:4482914-4485786
gene10086	11000	Alyr_NW_003302553.1	4487426	4491694	Alyr_NW_003302553.1:4487426-4491694
gene10087	11001	Alyr_NW_003302553.1	4492853	4495452	Alyr_NW_003302553.1:4492853-4495452
gene10088	11002	Alyr_NW_003302553.1	4496386	4498857	Alyr_NW_003302553.1:4496386-4498857
gene10089	11003	Alyr_NW_003302553.1	4499107	4501990	Alyr_NW_003302553.1:4499107-4501990
gene1009	25371	Alyr_NW_003302555.1	3671036	3673728	Alyr_NW_003302555.1:3671036-3673728
gene10090	11004	Alyr_NW_003302553.1	4502172	4504022	Alyr_NW_003302553.1:4502172-4504022
gene10091	11005	Alyr_NW_003302553.1	4504088	4506929	Alyr_NW_003302553.1:4504088-4506929
gene10092	11006	Alyr_NW_003302553.1	4507107	4508759	Alyr_NW_003302553.1:4507107-4508759
gene10093	11007	Alyr_NW_003302553.1	4512811	4513984	Alyr_NW_003302553.1:4512811-4513984
gene10094	11008	Alyr_NW_003302553.1	4514458	4517061	Alyr_NW_003302553.1:4514458-4517061
gene10095	11009	Alyr_NW_003302553.1	4520008	4521709	Alyr_NW_003302553.1:4520008-4521709
gene10097	11010	Alyr_NW_003302553.1	4522070	4524347	Alyr_NW_003302553.1:4522070-4524347
gene10098	11011	Alyr_NW_003302553.1	4525750	4527986	Alyr_NW_003302553.1:4525750-4527986
gene10099	11012	Alyr_NW_003302553.1	4529955	4532173	Alyr_NW_003302553.1:4529955-4532173
gene101	24528	Alyr_NW_003302555.1	356301	357877	Alyr_NW_003302555.1:356301-357877
gene1010	25372	Alyr_NW_003302555.1	3674129	3675689	Alyr_NW_003302555.1:3674129-3675689
gene10100	11013	Alyr_NW_003302553.1	4533762	4536535	Alyr_NW_003302553.1:4533762-4536535
gene10101	11014	Alyr_NW_003302553.1	4540868	4542636	Alyr_NW_003302553.1:4540868-4542636
gene10102	11015	Alyr_NW_003302553.1	4542724	4545163	Alyr_NW_003302553.1:4542724-4545163
gene10103	11016	Alyr_NW_003302553.1	4545466	4545819	Alyr_NW_003302553.1:4545466-4545819
