gene_ID	OF_ID	seqname	start	end	gea_gene
Potra2c131s34673	33809	Potra02_scaffold131	4709	5068	Potra02_scaffold131:4709-5068
Potra2c131s34674	33806	Potra02_scaffold131	5376	6116	Potra02_scaffold131:5376-6116
Potra2c131s34675	33808	Potra02_scaffold131	6175	6627	Potra02_scaffold131:6175-6627
Potra2c131s34676	33804	Potra02_scaffold131	7549	9053	Potra02_scaffold131:7549-9053
Potra2c131s34677	33810	Potra02_scaffold131	8299	9285	Potra02_scaffold131:8299-9285
Potra2c131s34678	33814	Potra02_scaffold131	11481	12416	Potra02_scaffold131:11481-12416
Potra2c131s34679	33800	Potra02_scaffold131	12550	12918	Potra02_scaffold131:12550-12918
Potra2c131s34680	33813	Potra02_scaffold131	13158	14171	Potra02_scaffold131:13158-14171
Potra2c131s34681	33799	Potra02_scaffold131	14279	14695	Potra02_scaffold131:14279-14695
Potra2c131s34682	33802	Potra02_scaffold131	29260	29511	Potra02_scaffold131:29260-29511
Potra2c131s34683	33807	Potra02_scaffold131	31036	31997	Potra02_scaffold131:31036-31997
Potra2c131s34684	33812	Potra02_scaffold131	32236	32922	Potra02_scaffold131:32236-32922
Potra2c131s34685	33811	Potra02_scaffold131	33293	36503	Potra02_scaffold131:33293-36503
Potra2c131s34686	33801	Potra02_scaffold131	48097	51614	Potra02_scaffold131:48097-51614
Potra2c131s34687	33798	Potra02_scaffold131	52237	56720	Potra02_scaffold131:52237-56720
Potra2c131s34688	33803	Potra02_scaffold131	56839	57252	Potra02_scaffold131:56839-57252
Potra2c131s34689	33805	Potra02_scaffold131	59076	61507	Potra02_scaffold131:59076-61507
Potra2c131s34690	33797	Potra02_scaffold131	92704	95240	Potra02_scaffold131:92704-95240
Potra2c499s35818	21247	Potra02_scaffold499	425	950	Potra02_scaffold499:425-950
Potra2c499s35819	21241	Potra02_scaffold499	1471	2037	Potra02_scaffold499:1471-2037
Potra2c499s35820	21244	Potra02_scaffold499	1632	4041	Potra02_scaffold499:1632-4041
Potra2c499s35821	21246	Potra02_scaffold499	4197	5465	Potra02_scaffold499:4197-5465
Potra2c499s35822	21238	Potra02_scaffold499	6539	7326	Potra02_scaffold499:6539-7326
Potra2c499s35823	21243	Potra02_scaffold499	28781	29950	Potra02_scaffold499:28781-29950
Potra2c499s35824	21245	Potra02_scaffold499	45150	45937	Potra02_scaffold499:45150-45937
Potra2c499s35825	21239	Potra02_scaffold499	47010	48278	Potra02_scaffold499:47010-48278
Potra2c499s35826	21237	Potra02_scaffold499	48434	50827	Potra02_scaffold499:48434-50827
Potra2c499s35827	21248	Potra02_scaffold499	50426	50987	Potra02_scaffold499:50426-50987
Potra2c499s35828	21240	Potra02_scaffold499	51360	52033	Potra02_scaffold499:51360-52033
Potra2c499s35829	21242	Potra02_scaffold499	52525	59082	Potra02_scaffold499:52525-59082
Potra2c499s35830	21236	Potra02_scaffold499	60004	60399	Potra02_scaffold499:60004-60399
Potra2c868s36849	21109	Potra02_scaffold868	3544	4331	Potra02_scaffold868:3544-4331
Potra2c868s36850	21106	Potra02_scaffold868	5405	6673	Potra02_scaffold868:5405-6673
Potra2c868s36851	21105	Potra02_scaffold868	6829	9217	Potra02_scaffold868:6829-9217
Potra2c868s36852	21110	Potra02_scaffold868	8833	9399	Potra02_scaffold868:8833-9399
Potra2c868s36853	21107	Potra02_scaffold868	9772	10445	Potra02_scaffold868:9772-10445
Potra2c868s36854	21108	Potra02_scaffold868	10296	11523	Potra02_scaffold868:10296-11523
Potra2n1000s36919	24376	Potra02_scaffold1000	10807	11726	Potra02_scaffold1000:10807-11726
Potra2n1000s36920	24375	Potra02_scaffold1000	13988	15637	Potra02_scaffold1000:13988-15637
Potra2n1014s36921	29968	Potra02_scaffold1014	6082	6876	Potra02_scaffold1014:6082-6876
Potra2n1014s36922	29969	Potra02_scaffold1014	9504	10472	Potra02_scaffold1014:9504-10472
Potra2n1015s36923	11054	Potra02_scaffold1015	453	1481	Potra02_scaffold1015:453-1481
Potra2n1015s36924	11053	Potra02_scaffold1015	2723	7303	Potra02_scaffold1015:2723-7303
Potra2n1016s36925	5325	Potra02_scaffold1016	457	849	Potra02_scaffold1016:457-849
Potra2n1018s36926	29900	Potra02_scaffold1018	5062	6123	Potra02_scaffold1018:5062-6123
Potra2n1018s36927	29901	Potra02_scaffold1018	7417	8178	Potra02_scaffold1018:7417-8178
Potra2n1018s36928	29902	Potra02_scaffold1018	8330	8566	Potra02_scaffold1018:8330-8566
Potra2n1019s36929	24156	Potra02_scaffold1019	8158	9166	Potra02_scaffold1019:8158-9166
Potra2n1019s36930	24155	Potra02_scaffold1019	9964	10713	Potra02_scaffold1019:9964-10713
Potra2n1022s36931	21394	Potra02_scaffold1022	2446	6723	Potra02_scaffold1022:2446-6723
Potra2n1022s36932	21395	Potra02_scaffold1022	12727	14849	Potra02_scaffold1022:12727-14849
Potra2n1024s36933	9609	Potra02_scaffold1024	11668	12447	Potra02_scaffold1024:11668-12447
Potra2n1024s36934	9610	Potra02_scaffold1024	14043	14356	Potra02_scaffold1024:14043-14356
Potra2n1025s36935	18619	Potra02_scaffold1025	1719	9038	Potra02_scaffold1025:1719-9038
Potra2n1025s36936	18620	Potra02_scaffold1025	8323	8517	Potra02_scaffold1025:8323-8517
Potra2n1028s36937	22905	Potra02_scaffold1028	4170	6549	Potra02_scaffold1028:4170-6549
Potra2n1032s36938	18576	Potra02_scaffold1032	4790	8079	Potra02_scaffold1032:4790-8079
Potra2n1034s36939	25773	Potra02_scaffold1034	314	2134	Potra02_scaffold1034:314-2134
Potra2n1034s36940	25772	Potra02_scaffold1034	805	1206	Potra02_scaffold1034:805-1206
Potra2n1037s36941	22822	Potra02_scaffold1037	13975	14202	Potra02_scaffold1037:13975-14202
