gene_ID	OF_ID	seqid	start	end	gea_gene
Aa_G10.h1	9723	chr3	16039538	16041808	chr3:16039538-16041808
Aa_G100.h1	9714	chr3	15925024	15928903	chr3:15925024-15928903
Aa_G1000.h1	9013	chr3	9651994	9653039	chr3:9651994-9653039
Aa_G10000.h1	21516	chr6	18795006	18795323	chr6:18795006-18795323
Aa_G100000.h1	10957	chr3	28408876	28414452	chr3:28408876-28414452
Aa_G100010.h1	17894	chr5	17709791	17712311	chr5:17709791-17712311
Aa_G1000110.h1	3505	chr1	25545517	25546415	chr1:25545517-25546415
Aa_G1000110.h2	30877	chr8	37961236	37962135	chr8:37961236-37962135
Aa_G100030.h1	17893	chr5	17697146	17699780	chr5:17697146-17699780
Aa_G1000330.h1	13549	chr4	29097721	29098311	chr4:29097721-29098311
Aa_G100040.h1	17892	chr5	17688047	17688253	chr5:17688047-17688253
Aa_G1000440.h1	17791	chr5	16567766	16568511	chr5:16567766-16568511
Aa_G1000440.h2	33734	scaffold_381	8913	9658	scaffold_381:8913-9658
Aa_G100050.h1	17891	chr5	17680316	17681077	chr5:17680316-17681077
Aa_G100060.h1	17890	chr5	17672384	17674761	chr5:17672384-17674761
Aa_G1000770.h1	26368	chr7	44838427	44838807	chr7:44838427-44838807
Aa_G1001870.h1	33327	scaffold_185	21151	21352	scaffold_185:21151-21352
Aa_G100190.h1	21368	chr6	16954721	16958519	chr6:16954721-16958519
Aa_G10020.h1	21517	chr6	18833104	18833820	chr6:18833104-18833820
Aa_G100200.h1	21369	chr6	16958990	16966267	chr6:16958990-16966267
Aa_G1002090.h1	22597	chr6	31518494	31518938	chr6:31518494-31518938
Aa_G100210.h1	21370	chr6	16993293	16993499	chr6:16993293-16993499
Aa_G100220.h1	21371	chr6	17005671	17006692	chr6:17005671-17006692
Aa_G100230.h1	21372	chr6	17015242	17018075	chr6:17015242-17018075
Aa_G100240.h1	21373	chr6	17018585	17019703	chr6:17018585-17019703
