gene_ID	OF_ID	seqid	start	end	gea_gene
gene:g00001	13877	Ahall_FJVB01000001.1	3516	10347	:3516-10347
gene:g00002	13878	Ahall_FJVB01000001.1	10357	16651	:10357-16651
gene:g00003	13879	Ahall_FJVB01000001.1	16806	18993	:16806-18993
gene:g00004	13880	Ahall_FJVB01000001.1	19326	21266	:19326-21266
gene:g00005	13881	Ahall_FJVB01000001.1	28656	31106	:28656-31106
gene:g00006	13882	Ahall_FJVB01000001.1	31127	32681	:31127-32681
gene:g00007	13883	Ahall_FJVB01000001.1	33436	36480	:33436-36480
gene:g00008	13884	Ahall_FJVB01000001.1	37132	38371	:37132-38371
gene:g00009	13885	Ahall_FJVB01000001.1	42116	43450	:42116-43450
gene:g00010	13886	Ahall_FJVB01000001.1	45426	46510	:45426-46510
gene:g00011	13887	Ahall_FJVB01000001.1	46517	50801	:46517-50801
gene:g00012	13888	Ahall_FJVB01000001.1	54914	56371	:54914-56371
gene:g00013	13889	Ahall_FJVB01000001.1	56586	58337	:56586-58337
gene:g00014	13890	Ahall_FJVB01000001.1	59516	61206	:59516-61206
gene:g00015	13891	Ahall_FJVB01000001.1	61208	65681	:61208-65681
gene:g00016	13892	Ahall_FJVB01000001.1	66256	68957	:66256-68957
gene:g00017	13893	Ahall_FJVB01000001.1	69196	71580	:69196-71580
gene:g00018	13894	Ahall_FJVB01000001.1	71787	74451	:71787-74451
gene:g00019	13895	Ahall_FJVB01000001.1	76816	78610	:76816-78610
gene:g00020	13896	Ahall_FJVB01000001.1	79370	81431	:79370-81431
gene:g00021	13897	Ahall_FJVB01000001.1	86547	89401	:86547-89401
gene:g00022	13898	Ahall_FJVB01000001.1	90626	91253	:90626-91253
gene:g00023	13899	Ahall_FJVB01000001.1	92166	92737	:92166-92737
gene:g00024	13900	Ahall_FJVB01000001.1	93076	95200	:93076-95200
gene:g00025	13901	Ahall_FJVB01000001.1	95619	97291	:95619-97291
gene:g00026	13902	Ahall_FJVB01000001.1	99085	103131	:99085-103131
gene:g00027	13903	Ahall_FJVB01000001.1	111406	115075	:111406-115075
gene:g00028	13904	Ahall_FJVB01000001.1	116226	121192	:116226-121192
gene:g00029	13905	Ahall_FJVB01000001.1	121257	127331	:121257-127331
gene:g00030	13906	Ahall_FJVB01000001.1	127556	129218	:127556-129218
gene:g00031	13907	Ahall_FJVB01000001.1	129267	130531	:129267-130531
gene:g00032	13908	Ahall_FJVB01000001.1	131496	133477	:131496-133477
gene:g00033	13909	Ahall_FJVB01000001.1	133546	136724	:133546-136724
gene:g00034	13910	Ahall_FJVB01000001.1	137081	137941	:137081-137941
gene:g00035	13911	Ahall_FJVB01000001.1	140551	141281	:140551-141281
gene:g00036	13912	Ahall_FJVB01000001.1	144436	145131	:144436-145131
gene:g00037	13913	Ahall_FJVB01000001.1	146286	147071	:146286-147071
gene:g00038	13914	Ahall_FJVB01000001.1	147637	151531	:147637-151531
gene:g00039	13915	Ahall_FJVB01000001.1	161186	165105	:161186-165105
gene:g00040	13916	Ahall_FJVB01000001.1	186333	189074	:186333-189074
gene:g00041	13917	Ahall_FJVB01000001.1	189343	192154	:189343-192154
gene:g00042	13918	Ahall_FJVB01000001.1	192238	192848	:192238-192848
gene:g00043	13919	Ahall_FJVB01000001.1	193036	198668	:193036-198668
gene:g00044	13920	Ahall_FJVB01000001.1	199650	207408	:199650-207408
gene:g00045	13921	Ahall_FJVB01000001.1	210953	214234	:210953-214234
gene:g00046	13922	Ahall_FJVB01000001.1	215823	220547	:215823-220547
gene:g00047	13923	Ahall_FJVB01000001.1	220579	222588	:220579-222588
gene:g00048	13924	Ahall_FJVB01000001.1	233993	237214	:233993-237214
gene:g00049	13925	Ahall_FJVB01000001.1	238064	238998	:238064-238998
gene:g00050	13926	Ahall_FJVB01000001.1	239618	241328	:239618-241328
gene:g00051	13927	Ahall_FJVB01000001.1	242943	245211	:242943-245211
gene:g00052	13928	Ahall_FJVB01000001.1	245538	246358	:245538-246358
gene:g00053	13929	Ahall_FJVB01000001.1	246850	247478	:246850-247478
gene:g00054	13930	Ahall_FJVB01000001.1	247994	249878	:247994-249878
gene:g00055	13931	Ahall_FJVB01000001.1	250523	251961	:250523-251961
gene:g00056	13932	Ahall_FJVB01000001.1	253328	254208	:253328-254208
gene:g00057	13933	Ahall_FJVB01000001.1	254773	257551	:254773-257551
gene:g00058	13934	Ahall_FJVB01000001.1	257653	258775	:257653-258775
gene:g00059	13935	Ahall_FJVB01000001.1	264223	266992	:264223-266992
gene:g00060	13936	Ahall_FJVB01000001.1	270203	271565	:270203-271565
gene:g00061	13937	Ahall_FJVB01000001.1	272276	274188	:272276-274188
gene:g00062	13938	Ahall_FJVB01000001.1	275113	276522	:275113-276522
gene:g00063	13939	Ahall_FJVB01000001.1	280773	283479	:280773-283479
gene:g00064	13940	Ahall_FJVB01000001.1	284213	286318	:284213-286318
gene:g00065	13941	Ahall_FJVB01000001.1	291283	293250	:291283-293250
gene:g00066	13942	Ahall_FJVB01000001.1	293663	295163	:293663-295163
gene:g00067	13943	Ahall_FJVB01000001.1	296613	297757	:296613-297757
gene:g00068	13944	Ahall_FJVB01000001.1	304563	306568	:304563-306568
gene:g00069	13945	Ahall_FJVB01000001.1	307524	315748	:307524-315748
gene:g00070	13946	Ahall_FJVB01000001.1	320483	325271	:320483-325271
gene:g00071	13947	Ahall_FJVB01000001.1	325863	328073	:325863-328073
gene:g00072	13948	Ahall_FJVB01000001.1	329933	332144	:329933-332144
gene:g00073	13949	Ahall_FJVB01000001.1	332833	334816	:332833-334816
gene:g00074	13950	Ahall_FJVB01000001.1	335063	340063	:335063-340063
gene:g00075	13951	Ahall_FJVB01000001.1	340170	340738	:340170-340738
gene:g00076	13952	Ahall_FJVB01000001.1	340863	341665	:340863-341665
gene:g00077	13953	Ahall_FJVB01000001.1	341705	344968	:341705-344968
gene:g00078	13954	Ahall_FJVB01000001.1	345598	346458	:345598-346458
gene:g00079	13955	Ahall_FJVB01000001.1	347694	352458	:347694-352458
gene:g00080	13956	Ahall_FJVB01000001.1	353914	357258	:353914-357258
gene:g00081	13957	Ahall_FJVB01000001.1	357344	359898	:357344-359898
gene:g00082	13958	Ahall_FJVB01000001.1	361095	363259	:361095-363259
gene:g00083	13959	Ahall_FJVB01000001.1	363263	366570	:363263-366570
gene:g00084	13960	Ahall_FJVB01000001.1	366755	372513	:366755-372513
gene:g00085	13961	Ahall_FJVB01000001.1	372575	375050	:372575-375050
gene:g00086	13962	Ahall_FJVB01000001.1	379845	382221	:379845-382221
gene:g00087	13963	Ahall_FJVB01000001.1	382360	384790	:382360-384790
gene:g00088	13964	Ahall_FJVB01000001.1	385775	388845	:385775-388845
gene:g00089	13965	Ahall_FJVB01000001.1	389435	391329	:389435-391329
gene:g00090	13966	Ahall_FJVB01000001.1	392975	394492	:392975-394492
gene:g00091	13967	Ahall_FJVB01000001.1	394845	399473	:394845-399473
gene:g00092	13968	Ahall_FJVB01000001.1	408478	410520	:408478-410520
gene:g00093	13969	Ahall_FJVB01000001.1	417026	418380	:417026-418380
gene:g00094	13970	Ahall_FJVB01000001.1	418685	423759	:418685-423759
gene:g00095	13971	Ahall_FJVB01000001.1	427185	429737	:427185-429737
gene:g00096	13972	Ahall_FJVB01000001.1	429740	432920	:429740-432920
gene:g00097	13973	Ahall_FJVB01000001.1	434598	437190	:434598-437190
gene:g00098	13974	Ahall_FJVB01000001.1	438807	446880	:438807-446880
gene:g00099	13975	Ahall_FJVB01000001.1	447849	449590	:447849-449590
gene:g00100	13976	Ahall_FJVB01000001.1	458671	463150	:458671-463150
gene:g00101	13977	Ahall_FJVB01000001.1	463311	469230	:463311-469230
gene:g00102	13978	Ahall_FJVB01000001.1	469995	476286	:469995-476286
gene:g00103	13979	Ahall_FJVB01000001.1	476605	478053	:476605-478053
gene:g00104	13980	Ahall_FJVB01000001.1	478305	480441	:478305-480441
gene:g00105	13981	Ahall_FJVB01000001.1	480482	486220	:480482-486220
gene:g00106	13982	Ahall_FJVB01000001.1	490414	494090	:490414-494090
gene:g00107	13983	Ahall_FJVB01000001.1	499630	508450	:499630-508450
gene:g00108	13984	Ahall_FJVB01000001.1	508571	512540	:508571-512540
gene:g00109	13985	Ahall_FJVB01000001.1	515775	519343	:515775-519343
gene:g00110	13986	Ahall_FJVB01000001.1	522878	525177	:522878-525177
gene:g00111	13987	Ahall_FJVB01000001.1	527192	530766	:527192-530766
gene:g00112	13988	Ahall_FJVB01000001.1	530814	538147	:530814-538147
gene:g00113	13989	Ahall_FJVB01000001.1	541722	544439	:541722-544439
gene:g00114	13990	Ahall_FJVB01000001.1	545312	548256	:545312-548256
gene:g00115	13991	Ahall_FJVB01000001.1	566602	571123	:566602-571123
gene:g00116	13992	Ahall_FJVB01000001.1	571333	572707	:571333-572707
gene:g00117	13993	Ahall_FJVB01000001.1	572852	574169	:572852-574169
gene:g00118	13994	Ahall_FJVB01000001.1	574524	576807	:574524-576807
gene:g00119	13995	Ahall_FJVB01000001.1	580233	581607	:580233-581607
gene:g00120	13996	Ahall_FJVB01000001.1	581772	583067	:581772-583067
gene:g00121	13997	Ahall_FJVB01000001.1	583422	585677	:583422-585677
gene:g00122	13998	Ahall_FJVB01000001.1	586651	588487	:586651-588487
gene:g00123	13999	Ahall_FJVB01000001.1	591682	595294	:591682-595294
gene:g00124	14000	Ahall_FJVB01000001.1	595383	597257	:595383-597257
gene:g00125	14001	Ahall_FJVB01000001.1	598475	600887	:598475-600887
gene:g00126	14002	Ahall_FJVB01000001.1	604082	606592	:604082-606592
gene:g00127	14003	Ahall_FJVB01000001.1	613972	614976	:613972-614976
gene:g00128	14004	Ahall_FJVB01000001.1	618578	619207	:618578-619207
gene:g00129	14005	Ahall_FJVB01000001.1	619772	621849	:619772-621849
gene:g00130	14006	Ahall_FJVB01000001.1	622802	623279	:622802-623279
