gene_ID	OF_ID	seqid	start	end	gea_gene
Podel.01G000100.v2.1	0	Pdelto_Chr01	1596	1934	:1596-1934
Podel.01G000200.v2.1	1	Pdelto_Chr01	29230	29499	:29230-29499
Podel.01G000300.v2.1	2	Pdelto_Chr01	31727	33514	:31727-33514
Podel.01G000400.v2.1	3	Pdelto_Chr01	44733	46706	:44733-46706
Podel.01G000500.v2.1	4	Pdelto_Chr01	46707	47536	:46707-47536
Podel.01G000600.v2.1	5	Pdelto_Chr01	65502	67385	:65502-67385
Podel.01G000700.v2.1	6	Pdelto_Chr01	74756	76532	:74756-76532
Podel.01G000800.v2.1	7	Pdelto_Chr01	83218	87613	:83218-87613
Podel.01G000900.v2.1	8	Pdelto_Chr01	88338	94944	:88338-94944
Podel.01G001000.v2.1	9	Pdelto_Chr01	111468	115539	:111468-115539
Podel.01G001100.v2.1	10	Pdelto_Chr01	116413	118014	:116413-118014
Podel.01G001200.v2.1	11	Pdelto_Chr01	120864	123175	:120864-123175
Podel.01G001300.v2.1	12	Pdelto_Chr01	124855	126408	:124855-126408
Podel.01G001400.v2.1	13	Pdelto_Chr01	129723	132472	:129723-132472
Podel.01G001500.v2.1	14	Pdelto_Chr01	132661	137383	:132661-137383
Podel.01G001600.v2.1	15	Pdelto_Chr01	137552	140175	:137552-140175
Podel.01G001700.v2.1	16	Pdelto_Chr01	141164	141457	:141164-141457
Podel.01G001800.v2.1	17	Pdelto_Chr01	141501	145240	:141501-145240
Podel.01G001900.v2.1	18	Pdelto_Chr01	146599	150772	:146599-150772
Podel.01G002000.v2.1	19	Pdelto_Chr01	150956	152860	:150956-152860
Podel.01G002100.v2.1	20	Pdelto_Chr01	152824	153656	:152824-153656
Podel.01G002200.v2.1	21	Pdelto_Chr01	155474	159947	:155474-159947
Podel.01G002300.v2.1	22	Pdelto_Chr01	164537	167435	:164537-167435
Podel.01G002400.v2.1	23	Pdelto_Chr01	170033	173781	:170033-173781
Podel.01G002500.v2.1	24	Pdelto_Chr01	178639	181809	:178639-181809
Podel.01G002600.v2.1	25	Pdelto_Chr01	181810	186198	:181810-186198
Podel.01G002700.v2.1	26	Pdelto_Chr01	198865	199667	:198865-199667
Podel.01G002800.v2.1	27	Pdelto_Chr01	200052	200574	:200052-200574
Podel.01G002900.v2.1	28	Pdelto_Chr01	201042	203789	:201042-203789
Podel.01G003000.v2.1	29	Pdelto_Chr01	208650	211347	:208650-211347
Podel.01G003100.v2.1	30	Pdelto_Chr01	215516	217931	:215516-217931
Podel.01G003200.v2.1	31	Pdelto_Chr01	218379	221159	:218379-221159
Podel.01G003300.v2.1	32	Pdelto_Chr01	227043	230017	:227043-230017
Podel.01G003400.v2.1	33	Pdelto_Chr01	231137	233166	:231137-233166
Podel.01G003500.v2.1	34	Pdelto_Chr01	232266	232379	:232266-232379
Podel.01G003600.v2.1	35	Pdelto_Chr01	237983	238465	:237983-238465
Podel.01G003700.v2.1	36	Pdelto_Chr01	238494	240327	:238494-240327
Podel.01G003800.v2.1	37	Pdelto_Chr01	246688	250662	:246688-250662
Podel.01G003900.v2.1	38	Pdelto_Chr01	249347	249607	:249347-249607
Podel.01G004000.v2.1	39	Pdelto_Chr01	255788	270892	:255788-270892
Podel.01G004100.v2.1	40	Pdelto_Chr01	271265	273897	:271265-273897
Podel.01G004200.v2.1	41	Pdelto_Chr01	274512	278955	:274512-278955
Podel.01G004300.v2.1	42	Pdelto_Chr01	282352	283171	:282352-283171
Podel.01G004400.v2.1	43	Pdelto_Chr01	285458	301590	:285458-301590
Podel.01G004500.v2.1	44	Pdelto_Chr01	301930	306478	:301930-306478
Podel.01G004600.v2.1	45	Pdelto_Chr01	306605	307379	:306605-307379
Podel.01G004700.v2.1	46	Pdelto_Chr01	309187	309936	:309187-309936
Podel.01G004800.v2.1	47	Pdelto_Chr01	309937	311810	:309937-311810
Podel.01G004900.v2.1	48	Pdelto_Chr01	314036	317026	:314036-317026
Podel.01G005000.v2.1	49	Pdelto_Chr01	322586	325289	:322586-325289
Podel.01G005100.v2.1	50	Pdelto_Chr01	326063	327300	:326063-327300
Podel.01G005200.v2.1	51	Pdelto_Chr01	330234	339928	:330234-339928
Podel.01G005300.v2.1	52	Pdelto_Chr01	343519	344392	:343519-344392
Podel.01G005400.v2.1	53	Pdelto_Chr01	353542	356011	:353542-356011
Podel.01G005500.v2.1	54	Pdelto_Chr01	357150	357746	:357150-357746
Podel.01G005600.v2.1	55	Pdelto_Chr01	358984	359314	:358984-359314
Podel.01G005700.v2.1	56	Pdelto_Chr01	387025	390571	:387025-390571
Podel.01G005800.v2.1	57	Pdelto_Chr01	391697	393733	:391697-393733
Podel.01G005900.v2.1	58	Pdelto_Chr01	408026	412944	:408026-412944
Podel.01G006000.v2.1	59	Pdelto_Chr01	419556	423575	:419556-423575
Podel.01G006100.v2.1	60	Pdelto_Chr01	423709	426085	:423709-426085
Podel.01G006200.v2.1	61	Pdelto_Chr01	432663	434283	:432663-434283
Podel.01G006300.v2.1	62	Pdelto_Chr01	444868	449305	:444868-449305
Podel.01G006400.v2.1	63	Pdelto_Chr01	452280	454551	:452280-454551
