gene_ID	OF_ID	seqid	start	end	gea_gene
Medtr0001s0010	0	Mtrunc_scaffold0001	3537	3893	:3537-3893
Medtr0001s0070	1	Mtrunc_scaffold0001	26889	27512	:26889-27512
Medtr0001s0100	2	Mtrunc_scaffold0001	44603	45360	:44603-45360
Medtr0001s0120	3	Mtrunc_scaffold0001	49524	50287	:49524-50287
Medtr0001s0160	4	Mtrunc_scaffold0001	55962	56354	:55962-56354
Medtr0001s0190	5	Mtrunc_scaffold0001	64219	66906	:64219-66906
Medtr0001s0200	6	Mtrunc_scaffold0001	67821	69070	:67821-69070
Medtr0001s0260	7	Mtrunc_scaffold0001	98683	99566	:98683-99566
Medtr0001s0360	8	Mtrunc_scaffold0001	148343	149371	:148343-149371
Medtr0001s0380	9	Mtrunc_scaffold0001	158433	159000	:158433-159000
Medtr0001s0430	10	Mtrunc_scaffold0001	188782	195705	:188782-195705
Medtr0001s0480	11	Mtrunc_scaffold0001	394992	395300	:394992-395300
Medtr0001s0490	12	Mtrunc_scaffold0001	397821	401891	:397821-401891
Medtr0001s0500	13	Mtrunc_scaffold0001	406045	406347	:406045-406347
Medtr0001s0510	14	Mtrunc_scaffold0001	406987	408026	:406987-408026
Medtr0001s0560	15	Mtrunc_scaffold0001	429613	430486	:429613-430486
Medtr0001s0570	16	Mtrunc_scaffold0001	430833	437206	:430833-437206
Medtr0001s0580	17	Mtrunc_scaffold0001	440096	440515	:440096-440515
Medtr0001s0660	18	Mtrunc_scaffold0001	502647	507542	:502647-507542
Medtr0001s0700	19	Mtrunc_scaffold0001	521769	521972	:521769-521972
Medtr0002s0020	6649	Mtrunc_scaffold0002	6674	10318	:6674-10318
Medtr0002s0030	6650	Mtrunc_scaffold0002	10882	13335	:10882-13335
Medtr0002s0040	6651	Mtrunc_scaffold0002	92739	93623	:92739-93623
Medtr0002s0050	6652	Mtrunc_scaffold0002	94779	95375	:94779-95375
Medtr0002s0070	6653	Mtrunc_scaffold0002	125041	125391	:125041-125391
Medtr0002s0090	6654	Mtrunc_scaffold0002	131385	136587	:131385-136587
Medtr0002s0100	6655	Mtrunc_scaffold0002	137575	139647	:137575-139647
Medtr0002s0110	6656	Mtrunc_scaffold0002	142901	146638	:142901-146638
Medtr0002s0120	6657	Mtrunc_scaffold0002	151806	155053	:151806-155053
Medtr0002s0140	6658	Mtrunc_scaffold0002	161646	164190	:161646-164190
Medtr0002s0150	6659	Mtrunc_scaffold0002	165003	167020	:165003-167020
Medtr0002s0160	6660	Mtrunc_scaffold0002	168673	170001	:168673-170001
Medtr0002s0170	6661	Mtrunc_scaffold0002	170293	172871	:170293-172871
Medtr0002s0180	6662	Mtrunc_scaffold0002	173038	174736	:173038-174736
Medtr0002s0200	6663	Mtrunc_scaffold0002	176368	178348	:176368-178348
Medtr0002s0210	6664	Mtrunc_scaffold0002	178891	179407	:178891-179407
Medtr0002s0250	6665	Mtrunc_scaffold0002	184708	185836	:184708-185836
Medtr0002s0260	6666	Mtrunc_scaffold0002	186683	186907	:186683-186907
Medtr0002s0270	6667	Mtrunc_scaffold0002	187390	188523	:187390-188523
Medtr0002s0280	6668	Mtrunc_scaffold0002	188707	190966	:188707-190966
Medtr0002s0300	6669	Mtrunc_scaffold0002	191647	192045	:191647-192045
Medtr0002s0310	6670	Mtrunc_scaffold0002	192714	194589	:192714-194589
Medtr0002s0330	6671	Mtrunc_scaffold0002	195258	196283	:195258-196283
Medtr0002s0350	6672	Mtrunc_scaffold0002	197870	198571	:197870-198571
Medtr0002s0360	6673	Mtrunc_scaffold0002	199254	200204	:199254-200204
Medtr0002s0380	6674	Mtrunc_scaffold0002	200333	201394	:200333-201394
Medtr0002s0390	6675	Mtrunc_scaffold0002	201926	203461	:201926-203461
Medtr0002s0420	6676	Mtrunc_scaffold0002	208858	211288	:208858-211288
Medtr0002s0440	6677	Mtrunc_scaffold0002	211848	212060	:211848-212060
Medtr0002s0510	6678	Mtrunc_scaffold0002	218431	229740	:218431-229740
Medtr0002s0530	6679	Mtrunc_scaffold0002	230067	231785	:230067-231785
Medtr0002s0540	6680	Mtrunc_scaffold0002	232353	234412	:232353-234412
Medtr0002s0550	6681	Mtrunc_scaffold0002	234504	236018	:234504-236018
Medtr0002s0580	6682	Mtrunc_scaffold0002	237066	241548	:237066-241548
Medtr0002s0590	6683	Mtrunc_scaffold0002	242220	245819	:242220-245819
Medtr0002s0630	6684	Mtrunc_scaffold0002	248456	249715	:248456-249715
Medtr0002s0650	6685	Mtrunc_scaffold0002	251910	253816	:251910-253816
Medtr0002s0660	6686	Mtrunc_scaffold0002	254599	256038	:254599-256038
Medtr0002s0670	6687	Mtrunc_scaffold0002	256701	257188	:256701-257188
Medtr0002s0680	6688	Mtrunc_scaffold0002	258084	258641	:258084-258641
Medtr0002s0690	6689	Mtrunc_scaffold0002	260031	260993	:260031-260993
Medtr0002s0700	6690	Mtrunc_scaffold0002	262331	262582	:262331-262582
Medtr0002s0730	6691	Mtrunc_scaffold0002	267910	268560	:267910-268560
Medtr0002s0740	6692	Mtrunc_scaffold0002	269071	270597	:269071-270597
Medtr0002s0750	6693	Mtrunc_scaffold0002	271152	274322	:271152-274322
Medtr0002s0760	6694	Mtrunc_scaffold0002	274540	276038	:274540-276038
Medtr0002s0770	6695	Mtrunc_scaffold0002	276439	276780	:276439-276780
Medtr0002s0780	6696	Mtrunc_scaffold0002	277415	278350	:277415-278350
Medtr0002s0790	6697	Mtrunc_scaffold0002	279513	280232	:279513-280232
Medtr0002s0800	6698	Mtrunc_scaffold0002	280819	281769	:280819-281769
Medtr0002s0820	6699	Mtrunc_scaffold0002	285957	292471	:285957-292471
Medtr0002s0860	6700	Mtrunc_scaffold0002	319001	319297	:319001-319297
Medtr0002s0870	6701	Mtrunc_scaffold0002	320571	322272	:320571-322272
Medtr0002s0880	6702	Mtrunc_scaffold0002	327640	328071	:327640-328071
Medtr0002s0890	6703	Mtrunc_scaffold0002	333532	341212	:333532-341212
Medtr0002s0900	6704	Mtrunc_scaffold0002	341926	343403	:341926-343403
Medtr0002s0930	6705	Mtrunc_scaffold0002	353150	354058	:353150-354058
Medtr0002s0960	6706	Mtrunc_scaffold0002	372151	373031	:372151-373031
Medtr0002s0990	6707	Mtrunc_scaffold0002	377741	379094	:377741-379094
Medtr0002s1060	6708	Mtrunc_scaffold0002	400364	401875	:400364-401875
Medtr0002s1160	6709	Mtrunc_scaffold0002	421973	422830	:421973-422830
