chr	pos	cM
Ha412HOChr01	1	0.01
Ha412HOChr01	1000001	0.48
Ha412HOChr01	2000001	2.83
Ha412HOChr01	3000001	5.26
Ha412HOChr01	4000001	6.81
Ha412HOChr01	5000001	8.02
Ha412HOChr01	6000001	8.89
Ha412HOChr01	7000001	9.46
Ha412HOChr01	8000001	10.06
Ha412HOChr01	9000001	10.62
Ha412HOChr01	10000001	11.27
Ha412HOChr01	11000001	11.87625
Ha412HOChr01	12000001	11.8775
Ha412HOChr01	13000001	11.87875
Ha412HOChr01	14000001	11.88
Ha412HOChr01	15000001	11.88125
Ha412HOChr01	16000001	11.8825
Ha412HOChr01	17000001	11.88375
Ha412HOChr01	18000001	12.02
Ha412HOChr01	19000001	12.32
Ha412HOChr01	20000001	12.45
Ha412HOChr01	21000001	12.4658333333333
Ha412HOChr01	22000001	12.4666666666667
Ha412HOChr01	23000001	12.4675
Ha412HOChr01	24000001	12.4683333333333
Ha412HOChr01	25000001	12.4691666666667
Ha412HOChr01	26000001	12.47
Ha412HOChr01	27000001	12.4708333333333
Ha412HOChr01	28000001	12.4716666666667
Ha412HOChr01	29000001	12.4725
Ha412HOChr01	30000001	12.4733333333333
Ha412HOChr01	31000001	12.4741666666667
Ha412HOChr01	32000001	12.4753571428571
Ha412HOChr01	33000001	12.4757142857143
Ha412HOChr01	34000001	12.4760714285714
Ha412HOChr01	35000001	12.4764285714286
Ha412HOChr01	36000001	12.4767857142857
Ha412HOChr01	37000001	12.4771428571429
Ha412HOChr01	38000001	12.4775
Ha412HOChr01	39000001	12.4778571428571
Ha412HOChr01	40000001	12.4782142857143
Ha412HOChr01	41000001	12.4785714285714
Ha412HOChr01	42000001	12.4789285714286
Ha412HOChr01	43000001	12.4792857142857
Ha412HOChr01	44000001	12.4796428571429
Ha412HOChr01	45000001	12.48
Ha412HOChr01	46000001	12.4803571428571
Ha412HOChr01	47000001	12.4807142857143
Ha412HOChr01	48000001	12.4810714285714
Ha412HOChr01	49000001	12.4814285714286
Ha412HOChr01	50000001	12.4817857142857
Ha412HOChr01	51000001	12.4821428571429
Ha412HOChr01	52000001	12.4825
Ha412HOChr01	53000001	12.4828571428571
Ha412HOChr01	54000001	12.4832142857143
Ha412HOChr01	55000001	12.4835714285714
Ha412HOChr01	56000001	12.4839285714286
Ha412HOChr01	57000001	12.4842857142857
Ha412HOChr01	58000001	12.4846428571429
Ha412HOChr01	59000001	12.6
Ha412HOChr01	60000001	13.07
Ha412HOChr01	61000001	13.57
Ha412HOChr01	62000001	13.91
Ha412HOChr01	63000001	14.02
Ha412HOChr01	64000001	14.22
Ha412HOChr01	65000001	14.48
Ha412HOChr01	66000001	15.07
Ha412HOChr01	67000001	16.06
Ha412HOChr01	68000001	16.64
Ha412HOChr01	69000001	16.72
Ha412HOChr01	70000001	16.79
Ha412HOChr01	71000001	16.92
Ha412HOChr01	72000001	17.12
Ha412HOChr01	73000001	17.82
Ha412HOChr01	74000001	19.36
Ha412HOChr01	75000001	21.15
Ha412HOChr01	76000001	22.57
Ha412HOChr01	77000001	23.16
Ha412HOChr01	78000001	23.4
Ha412HOChr01	79000001	23.64
Ha412HOChr01	80000001	24.12
Ha412HOChr01	81000001	25.16
Ha412HOChr01	82000001	25.78
Ha412HOChr01	83000001	25.8366666666667
Ha412HOChr01	84000001	25.8383333333333
Ha412HOChr01	85000001	25.84
Ha412HOChr01	86000001	25.8416666666667
Ha412HOChr01	87000001	25.8433333333333
Ha412HOChr01	88000001	26.16
Ha412HOChr01	89000001	26.51
Ha412HOChr01	90000001	26.81
Ha412HOChr01	91000001	27.27
Ha412HOChr01	92000001	28.03
Ha412HOChr01	93000001	28.94
Ha412HOChr01	94000001	29.23
Ha412HOChr01	95000001	29.38
Ha412HOChr01	96000001	29.7
Ha412HOChr01	97000001	29.8383333333333
Ha412HOChr01	98000001	29.8416666666667
Ha412HOChr01	99000001	29.85
Ha412HOChr01	100000001	29.89
Ha412HOChr01	101000001	29.94
Ha412HOChr01	102000001	29.9675
Ha412HOChr01	103000001	29.97
Ha412HOChr01	104000001	29.9725
Ha412HOChr01	105000001	30.01
Ha412HOChr01	106000001	30.28
Ha412HOChr01	107000001	30.65
Ha412HOChr01	108000001	31
Ha412HOChr01	109000001	31.19
Ha412HOChr01	110000001	31.28
Ha412HOChr01	111000001	31.32
Ha412HOChr01	112000001	31.39
Ha412HOChr01	113000001	31.46
Ha412HOChr01	114000001	31.9
Ha412HOChr01	115000001	32.25
Ha412HOChr01	116000001	32.285625
Ha412HOChr01	117000001	32.28625
Ha412HOChr01	118000001	32.286875
Ha412HOChr01	119000001	32.2875
Ha412HOChr01	120000001	32.288125
Ha412HOChr01	121000001	32.28875
Ha412HOChr01	122000001	32.289375
Ha412HOChr01	123000001	32.29
Ha412HOChr01	124000001	32.290625
Ha412HOChr01	125000001	32.29125
Ha412HOChr01	126000001	32.291875
Ha412HOChr01	127000001	32.2925
Ha412HOChr01	128000001	32.293125
Ha412HOChr01	129000001	32.29375
Ha412HOChr01	130000001	32.294375
Ha412HOChr01	131000001	32.34
Ha412HOChr01	132000001	32.86
Ha412HOChr01	133000001	33.4
Ha412HOChr01	134000001	33.88
Ha412HOChr01	135000001	34.4
Ha412HOChr01	136000001	34.8
Ha412HOChr01	137000001	35.67
Ha412HOChr01	138000001	36.47
Ha412HOChr01	139000001	36.86
Ha412HOChr01	140000001	37.99
Ha412HOChr01	141000001	39.75
Ha412HOChr01	142000001	41.24
Ha412HOChr01	143000001	42.49
Ha412HOChr01	144000001	43.6
Ha412HOChr01	145000001	44.97
Ha412HOChr01	146000001	46.83
Ha412HOChr01	147000001	47.96
Ha412HOChr01	148000001	48.76
Ha412HOChr01	149000001	51.47
Ha412HOChr01	150000001	54.98
Ha412HOChr01	151000001	57.55
Ha412HOChr01	152000001	60.31
Ha412HOChr01	153000001	63.48
Ha412HOChr01	154000001	66.93
Ha412HOChr01	155000001	70.45
Ha412HOChr01	156000001	73.63
Ha412HOChr01	157000001	76.14
Ha412HOChr01	158000001	77.97
Ha412HOChr01	159000001	78.98
Ha412HOChr01	159217232	79.16
Ha412HOChr02	1	0.01
Ha412HOChr02	1000001	0.31
Ha412HOChr02	2000001	1.32
Ha412HOChr02	3000001	2.63
Ha412HOChr02	4000001	3.77
Ha412HOChr02	5000001	4.42
Ha412HOChr02	6000001	4.68
Ha412HOChr02	7000001	4.99
Ha412HOChr02	8000001	6.04
Ha412HOChr02	9000001	8.11
Ha412HOChr02	10000001	10.21
Ha412HOChr02	11000001	11.24
Ha412HOChr02	12000001	12.15
Ha412HOChr02	13000001	13.87
Ha412HOChr02	14000001	16.19
Ha412HOChr02	15000001	18.87
Ha412HOChr02	16000001	21.59
Ha412HOChr02	17000001	23.49
Ha412HOChr02	18000001	24.23
Ha412HOChr02	19000001	24.88
Ha412HOChr02	20000001	25.78
Ha412HOChr02	21000001	26.64
Ha412HOChr02	22000001	27.18
Ha412HOChr02	23000001	27.67
Ha412HOChr02	24000001	28.53
Ha412HOChr02	25000001	29.03
Ha412HOChr02	26000001	29.117
Ha412HOChr02	27000001	29.119
Ha412HOChr02	28000001	29.121
Ha412HOChr02	29000001	29.123
Ha412HOChr02	30000001	29.21
Ha412HOChr02	31000001	29.39
Ha412HOChr02	32000001	29.61
Ha412HOChr02	33000001	29.88
Ha412HOChr02	34000001	30.17
Ha412HOChr02	35000001	30.48
Ha412HOChr02	36000001	30.79
Ha412HOChr02	37000001	31.09
Ha412HOChr02	38000001	31.37
Ha412HOChr02	39000001	31.62
Ha412HOChr02	40000001	31.83
Ha412HOChr02	41000001	31.99
Ha412HOChr02	42000001	32.07
Ha412HOChr02	43000001	32.0856666666667
Ha412HOChr02	44000001	32.0863333333333
Ha412HOChr02	45000001	32.087
Ha412HOChr02	46000001	32.0876666666667
Ha412HOChr02	47000001	32.0883333333333
Ha412HOChr02	48000001	32.089
Ha412HOChr02	49000001	32.0896666666667
Ha412HOChr02	50000001	32.0903333333333
Ha412HOChr02	51000001	32.091
Ha412HOChr02	52000001	32.0916666666667
Ha412HOChr02	53000001	32.0923333333333
Ha412HOChr02	54000001	32.093
Ha412HOChr02	55000001	32.0936666666667
Ha412HOChr02	56000001	32.0943333333333
Ha412HOChr02	57000001	32.24
Ha412HOChr02	58000001	32.51
Ha412HOChr02	59000001	32.71
Ha412HOChr02	60000001	32.82
Ha412HOChr02	61000001	32.8451612903226
Ha412HOChr02	62000001	32.8453225806452
Ha412HOChr02	63000001	32.8454838709677
Ha412HOChr02	64000001	32.8456451612903
Ha412HOChr02	65000001	32.8458064516129
Ha412HOChr02	66000001	32.8459677419355
Ha412HOChr02	67000001	32.8461290322581
Ha412HOChr02	68000001	32.8462903225806
Ha412HOChr02	69000001	32.8464516129032
Ha412HOChr02	70000001	32.8466129032258
Ha412HOChr02	71000001	32.8467741935484
Ha412HOChr02	72000001	32.846935483871
Ha412HOChr02	73000001	32.8470967741935
Ha412HOChr02	74000001	32.8472580645161
Ha412HOChr02	75000001	32.8474193548387
Ha412HOChr02	76000001	32.8475806451613
Ha412HOChr02	77000001	32.8477419354839
Ha412HOChr02	78000001	32.8479032258064
Ha412HOChr02	79000001	32.848064516129
Ha412HOChr02	80000001	32.8482258064516
Ha412HOChr02	81000001	32.8483870967742
Ha412HOChr02	82000001	32.8485483870968
Ha412HOChr02	83000001	32.8487096774194
Ha412HOChr02	84000001	32.8488709677419
Ha412HOChr02	85000001	32.8490322580645
Ha412HOChr02	86000001	32.8491935483871
Ha412HOChr02	87000001	32.8493548387097
Ha412HOChr02	88000001	32.8495161290323
Ha412HOChr02	89000001	32.8496774193548
Ha412HOChr02	90000001	32.8498387096774
Ha412HOChr02	91000001	32.85
Ha412HOChr02	92000001	32.8501612903226
Ha412HOChr02	93000001	32.8503225806452
Ha412HOChr02	94000001	32.8504838709677
Ha412HOChr02	95000001	32.8506451612903
Ha412HOChr02	96000001	32.8508064516129
Ha412HOChr02	97000001	32.8509677419355
Ha412HOChr02	98000001	32.8511290322581
Ha412HOChr02	99000001	32.8512903225806
Ha412HOChr02	100000001	32.8514516129032
Ha412HOChr02	101000001	32.8516129032258
Ha412HOChr02	102000001	32.8517741935484
Ha412HOChr02	103000001	32.851935483871
Ha412HOChr02	104000001	32.8520967741935
Ha412HOChr02	105000001	32.8522580645161
Ha412HOChr02	106000001	32.8524193548387
Ha412HOChr02	107000001	32.8525806451613
Ha412HOChr02	108000001	32.8527419354839
Ha412HOChr02	109000001	32.8529032258065
Ha412HOChr02	110000001	32.853064516129
Ha412HOChr02	111000001	32.8532258064516
Ha412HOChr02	112000001	32.8533870967742
Ha412HOChr02	113000001	32.8535483870968
Ha412HOChr02	114000001	32.8537096774194
Ha412HOChr02	115000001	32.8538709677419
Ha412HOChr02	116000001	32.8540322580645
Ha412HOChr02	117000001	32.8541935483871
Ha412HOChr02	118000001	32.8543548387097
Ha412HOChr02	119000001	32.8545161290323
Ha412HOChr02	120000001	32.8546774193548
Ha412HOChr02	121000001	32.8548387096774
Ha412HOChr02	122000001	33.01
Ha412HOChr02	123000001	33.0875
Ha412HOChr02	124000001	33.09
Ha412HOChr02	125000001	33.0925
Ha412HOChr02	126000001	33.11
Ha412HOChr02	127000001	33.36
Ha412HOChr02	128000001	33.77
Ha412HOChr02	129000001	34.21
Ha412HOChr02	130000001	34.55
Ha412HOChr02	131000001	34.68
Ha412HOChr02	132000001	34.70625
Ha412HOChr02	133000001	34.7075
Ha412HOChr02	134000001	34.70875
Ha412HOChr02	135000001	34.71
