gene_ID	OF_ID	seqid	start	end	gea_gene
Pabies_10000213g0010	0	Pabies_10000213	1	1451	:1-1451
Pabies_10000405g0010	1	Pabies_10000405	1	917	:1-917
Pabies_1000049g0010	26437	Pabies_1000049	357	756	:357-756
Pabies_10000516g0010	2	Pabies_10000516	1259	1612	:1259-1612
Pabies_10001015g0010	3	Pabies_10001015	1268	1807	:1268-1807
Pabies_10001337g0010	4	Pabies_10001337	1	863	:1-863
Pabies_10001425g0010	26438	Pabies_10001425	1	603	:1-603
Pabies_10001478g0010	26439	Pabies_10001478	663	1561	:663-1561
Pabies_10001558g0010	26440	Pabies_10001558	1922	2161	:1922-2161
Pabies_10001g0010	58587	Pabies_10001	14379	15197	:14379-15197
Pabies_10002030g0010	26441	Pabies_10002030	573	3538	:573-3538
Pabies_10002157g0010	26442	Pabies_10002157	710	1144	:710-1144
Pabies_10002549g0010	26443	Pabies_10002549	1	685	:1-685
Pabies_10002583g0010	5	Pabies_10002583	3974	4896	:3974-4896
Pabies_10002614g0010	26444	Pabies_10002614	1	3060	:1-3060
Pabies_10002643g0010	26445	Pabies_10002643	4143	4502	:4143-4502
Pabies_1000285g0010	26446	Pabies_1000285	6073	7078	:6073-7078
Pabies_10002g0010	6	Pabies_10002	14431	15567	:14431-15567
Pabies_10002g0020	7	Pabies_10002	17217	18371	:17217-18371
Pabies_10003056g0010	58588	Pabies_10003056	1520	2272	:1520-2272
Pabies_10003125g0010	26447	Pabies_10003125	2615	3028	:2615-3028
Pabies_10003325g0010	26448	Pabies_10003325	1046	1474	:1046-1474
Pabies_10003325g0020	26449	Pabies_10003325	1957	2409	:1957-2409
Pabies_10003489g0010	8	Pabies_10003489	1310	1771	:1310-1771
Pabies_10003545g0010	58589	Pabies_10003545	1	4916	:1-4916
Pabies_10003621g0010	26450	Pabies_10003621	628	1070	:628-1070
Pabies_10003984g0010	26451	Pabies_10003984	1610	2466	:1610-2466
Pabies_10004022g0010	26452	Pabies_10004022	822	1368	:822-1368
Pabies_10004132g0010	26453	Pabies_10004132	3068	3241	:3068-3241
Pabies_10004389g0010	26454	Pabies_10004389	133	571	:133-571
Pabies_10004434g0010	58590	Pabies_10004434	1	293	:1-293
Pabies_10004639g0010	9	Pabies_10004639	1352	1681	:1352-1681
Pabies_10004892g0010	26455	Pabies_10004892	278	514	:278-514
Pabies_10005026g0010	26456	Pabies_10005026	4919	5505	:4919-5505
Pabies_10005112g0010	58591	Pabies_10005112	72	4712	:72-4712
Pabies_100052g0010	10	Pabies_100052	11809	12672	:11809-12672
Pabies_10005612g0010	11	Pabies_10005612	1	512	:1-512
Pabies_10005801g0010	26457	Pabies_10005801	248	961	:248-961
Pabies_100058g0010	12	Pabies_100058	5890	9163	:5890-9163
Pabies_10005947g0010	26458	Pabies_10005947	3686	3862	:3686-3862
Pabies_10005g0010	58592	Pabies_10005	1	4727	:1-4727
Pabies_10006044g0010	13	Pabies_10006044	384	1001	:384-1001
Pabies_10006046g0010	58593	Pabies_10006046	104	472	:104-472
Pabies_10006055g0010	14	Pabies_10006055	214	588	:214-588
Pabies_10006055g0020	26459	Pabies_10006055	622	879	:622-879
Pabies_10006126g0010	26460	Pabies_10006126	1	2996	:1-2996
Pabies_10006291g0010	26461	Pabies_10006291	1023	1321	:1023-1321
Pabies_10006362g0010	26462	Pabies_10006362	3595	3957	:3595-3957
Pabies_100063g0010	58594	Pabies_100063	1	5782	:1-5782
Pabies_10006541g0010	15	Pabies_10006541	1	783	:1-783
Pabies_10006601g0010	26463	Pabies_10006601	816	1277	:816-1277
Pabies_10006831g0010	26464	Pabies_10006831	2392	3434	:2392-3434
Pabies_10006977g0010	26465	Pabies_10006977	1257	1640	:1257-1640
Pabies_100071g0010	58595	Pabies_100071	9644	10480	:9644-10480
Pabies_10007324g0010	58596	Pabies_10007324	1	2254	:1-2254
Pabies_10007370g0010	16	Pabies_10007370	1	1993	:1-1993
Pabies_10007908g0010	26466	Pabies_10007908	1139	1450	:1139-1450
Pabies_1000807g0010	17	Pabies_1000807	1	6869	:1-6869
Pabies_100082g0010	58597	Pabies_100082	276	500	:276-500
Pabies_10008335g0010	26467	Pabies_10008335	2389	2688	:2389-2688
Pabies_1000836g0010	18	Pabies_1000836	8400	8919	:8400-8919
Pabies_1000870g0010	26468	Pabies_1000870	926	1135	:926-1135
Pabies_100087g0010	19	Pabies_100087	10010	11846	:10010-11846
Pabies_10008g0010	26469	Pabies_10008	610	2582	:610-2582
Pabies_10009016g0010	26470	Pabies_10009016	1	5457	:1-5457
Pabies_10009049g0010	26471	Pabies_10009049	7250	8146	:7250-8146
Pabies_10009233g0010	26472	Pabies_10009233	6766	7419	:6766-7419
Pabies_10009487g0010	26473	Pabies_10009487	1	485	:1-485
Pabies_100094g0010	26474	Pabies_100094	11694	12998	:11694-12998
Pabies_10009970g0010	26475	Pabies_10009970	667	1397	:667-1397
Pabies_10009991g0010	26476	Pabies_10009991	1	747	:1-747
Pabies_10009g0010	26477	Pabies_10009	18090	23578	:18090-23578
Pabies_100101g0010	26478	Pabies_100101	13412	14439	:13412-14439
Pabies_10010249g0010	26479	Pabies_10010249	448	660	:448-660
Pabies_10010412g0010	26480	Pabies_10010412	1439	1655	:1439-1655
Pabies_10010680g0010	26481	Pabies_10010680	541	836	:541-836
Pabies_100107g0010	20	Pabies_100107	1	7979	:1-7979
Pabies_100113g0010	21	Pabies_100113	13900	14558	:13900-14558
Pabies_10011579g0010	22	Pabies_10011579	514	894	:514-894
Pabies_10011676g0010	26482	Pabies_10011676	1	299	:1-299
Pabies_10011775g0010	23	Pabies_10011775	1209	1607	:1209-1607
Pabies_10011940g0010	24	Pabies_10011940	1	1241	:1-1241
Pabies_10011980g0010	25	Pabies_10011980	1162	1557	:1162-1557
Pabies_10012052g0010	26483	Pabies_10012052	7576	7839	:7576-7839
Pabies_10012164g0010	26484	Pabies_10012164	1	644	:1-644
Pabies_10012199g0010	26	Pabies_10012199	1152	1490	:1152-1490
Pabies_100123g0010	27	Pabies_100123	5955	6176	:5955-6176
Pabies_100123g0020	26485	Pabies_100123	15202	15369	:15202-15369
Pabies_100123g0030	26486	Pabies_100123	20821	20988	:20821-20988
Pabies_10012769g0010	58598	Pabies_10012769	1	263	:1-263
Pabies_100129g0010	28	Pabies_100129	12003	14951	:12003-14951
Pabies_10013023g0010	26487	Pabies_10013023	679	880	:679-880
Pabies_10013115g0010	26488	Pabies_10013115	2141	3958	:2141-3958
Pabies_10013136g0010	26489	Pabies_10013136	1	197	:1-197
Pabies_10013274g0010	26490	Pabies_10013274	295	545	:295-545
Pabies_100132g0010	58599	Pabies_100132	24476	25762	:24476-25762
Pabies_10013531g0010	26491	Pabies_10013531	3087	3239	:3087-3239
Pabies_10013593g0010	26492	Pabies_10013593	1	1983	:1-1983
Pabies_100135g0010	26493	Pabies_100135	9645	12446	:9645-12446
Pabies_100136g0010	29	Pabies_100136	5172	5483	:5172-5483
Pabies_10013703g0010	30	Pabies_10013703	185	872	:185-872
Pabies_10013703g0020	26494	Pabies_10013703	1111	2040	:1111-2040
Pabies_10013774g0010	26495	Pabies_10013774	2262	2567	:2262-2567
Pabies_100138g0010	31	Pabies_100138	10010	11518	:10010-11518
Pabies_10014137g0010	26496	Pabies_10014137	1705	2449	:1705-2449
Pabies_10014141g0010	26497	Pabies_10014141	138	1262	:138-1262
Pabies_10014377g0010	26498	Pabies_10014377	802	1434	:802-1434
Pabies_10014697g0010	58600	Pabies_10014697	925	3977	:925-3977
Pabies_10014849g0010	26499	Pabies_10014849	1	1268	:1-1268
Pabies_100150g0010	32	Pabies_100150	4186	5136	:4186-5136
Pabies_100151g0010	26500	Pabies_100151	6409	9859	:6409-9859
Pabies_10015466g0010	26501	Pabies_10015466	5771	6139	:5771-6139
Pabies_10015466g0020	26502	Pabies_10015466	6272	6430	:6272-6430
Pabies_100154g0010	33	Pabies_100154	9572	10450	:9572-10450
Pabies_1001553g0010	26503	Pabies_1001553	3396	3563	:3396-3563
Pabies_100155g0010	26504	Pabies_100155	9205	9507	:9205-9507
Pabies_1001573g0010	58601	Pabies_1001573	1252	2064	:1252-2064
Pabies_10015839g0010	26505	Pabies_10015839	396	693	:396-693
Pabies_10015940g0010	26506	Pabies_10015940	2979	4954	:2979-4954
Pabies_10015961g0010	26507	Pabies_10015961	568	1226	:568-1226
Pabies_10015968g0010	26508	Pabies_10015968	1132	2363	:1132-2363
Pabies_1001601g0010	26509	Pabies_1001601	202	1674	:202-1674
Pabies_1001601g0020	34	Pabies_1001601	1757	2689	:1757-2689
Pabies_10016128g0010	26510	Pabies_10016128	1	306	:1-306
Pabies_10016194g0010	35	Pabies_10016194	1756	2037	:1756-2037
Pabies_10016305g0010	26511	Pabies_10016305	468	1305	:468-1305
Pabies_10016710g0010	36	Pabies_10016710	1	946	:1-946
Pabies_10016710g0020	26512	Pabies_10016710	1108	2467	:1108-2467
Pabies_10016720g0010	26513	Pabies_10016720	3035	3214	:3035-3214
Pabies_10016873g0010	26514	Pabies_10016873	65	4466	:65-4466
Pabies_10017488g0010	58602	Pabies_10017488	1273	1907	:1273-1907
Pabies_10017564g0010	37	Pabies_10017564	1098	2046	:1098-2046
Pabies_10017880g0010	26515	Pabies_10017880	1084	1403	:1084-1403
Pabies_10017907g0010	38	Pabies_10017907	953	1369	:953-1369
Pabies_100179g0010	39	Pabies_100179	16308	19730	:16308-19730
Pabies_10017g0010	58603	Pabies_10017	3692	8892	:3692-8892
Pabies_10018022g0010	26516	Pabies_10018022	2825	3328	:2825-3328
Pabies_10018048g0010	26517	Pabies_10018048	885	1860	:885-1860
Pabies_1001810g0010	26518	Pabies_1001810	283	1505	:283-1505
Pabies_1001810g0020	26519	Pabies_1001810	1718	3313	:1718-3313
Pabies_10018112g0010	40	Pabies_10018112	673	1116	:673-1116
Pabies_1001811g0010	26520	Pabies_1001811	3148	3471	:3148-3471
Pabies_1001814g0010	26521	Pabies_1001814	2445	2621	:2445-2621
Pabies_10018171g0010	41	Pabies_10018171	1	771	:1-771
Pabies_10018366g0010	26522	Pabies_10018366	2524	2694	:2524-2694
Pabies_10018585g0010	26523	Pabies_10018585	1	3137	:1-3137
Pabies_10018599g0010	26524	Pabies_10018599	1	3513	:1-3513
Pabies_10018650g0010	42	Pabies_10018650	1	2322	:1-2322
Pabies_10018850g0010	58604	Pabies_10018850	1	1207	:1-1207
Pabies_10018938g0010	43	Pabies_10018938	699	1259	:699-1259
Pabies_10019041g0010	26525	Pabies_10019041	267	552	:267-552
Pabies_100190g0010	44	Pabies_100190	6019	7041	:6019-7041
Pabies_10019201g0010	58605	Pabies_10019201	1	2105	:1-2105
Pabies_100192g0010	26526	Pabies_100192	16551	17691	:16551-17691
Pabies_10019331g0010	45	Pabies_10019331	752	1141	:752-1141
Pabies_10019515g0010	46	Pabies_10019515	871	1745	:871-1745
Pabies_10019576g0010	26527	Pabies_10019576	1469	1809	:1469-1809
Pabies_100195g0010	26528	Pabies_100195	13787	15613	:13787-15613
Pabies_10019752g0010	47	Pabies_10019752	787	1119	:787-1119
