gene_ID	OF_ID	seqname	start	end	gea_gene
gene0	23353	Phalli_NC_038042.1	10625	12715	Phalli_NC_038042.1:10625-12715
gene1	23354	Phalli_NC_038042.1	12786	19505	Phalli_NC_038042.1:12786-19505
gene10	23363	Phalli_NC_038042.1	258421	267221	Phalli_NC_038042.1:258421-267221
gene100	23435	Phalli_NC_038042.1	1001614	1004201	Phalli_NC_038042.1:1001614-1004201
gene1000	24198	Phalli_NC_038042.1	8790014	8797683	Phalli_NC_038042.1:8790014-8797683
gene10000	13842	Phalli_NC_038044.1	16572782	16575933	Phalli_NC_038044.1:16572782-16575933
gene10001	13843	Phalli_NC_038044.1	16590523	16594349	Phalli_NC_038044.1:16590523-16594349
gene10002	13844	Phalli_NC_038044.1	16612515	16614677	Phalli_NC_038044.1:16612515-16614677
gene10003	13845	Phalli_NC_038044.1	16614825	16615566	Phalli_NC_038044.1:16614825-16615566
gene10004	13846	Phalli_NC_038044.1	16616536	16617467	Phalli_NC_038044.1:16616536-16617467
gene10005	13847	Phalli_NC_038044.1	16620882	16644086	Phalli_NC_038044.1:16620882-16644086
gene10006	13848	Phalli_NC_038044.1	16658064	16658898	Phalli_NC_038044.1:16658064-16658898
gene10007	13849	Phalli_NC_038044.1	16659389	16661485	Phalli_NC_038044.1:16659389-16661485
gene10008	13850	Phalli_NC_038044.1	16662669	16665641	Phalli_NC_038044.1:16662669-16665641
gene10009	13851	Phalli_NC_038044.1	16666501	16668561	Phalli_NC_038044.1:16666501-16668561
gene1001	24199	Phalli_NC_038042.1	8810112	8813446	Phalli_NC_038042.1:8810112-8813446
gene10010	13852	Phalli_NC_038044.1	16668627	16669568	Phalli_NC_038044.1:16668627-16669568
gene10011	13853	Phalli_NC_038044.1	16670628	16673750	Phalli_NC_038044.1:16670628-16673750
gene10012	13854	Phalli_NC_038044.1	16676575	16677810	Phalli_NC_038044.1:16676575-16677810
gene10013	13855	Phalli_NC_038044.1	16679033	16682973	Phalli_NC_038044.1:16679033-16682973
gene10014	13856	Phalli_NC_038044.1	16683170	16684550	Phalli_NC_038044.1:16683170-16684550
gene10015	13857	Phalli_NC_038044.1	16685386	16688858	Phalli_NC_038044.1:16685386-16688858
gene10016	13858	Phalli_NC_038044.1	16690855	16694747	Phalli_NC_038044.1:16690855-16694747
gene10017	13859	Phalli_NC_038044.1	16695438	16701153	Phalli_NC_038044.1:16695438-16701153
gene10018	13860	Phalli_NC_038044.1	16709449	16716424	Phalli_NC_038044.1:16709449-16716424
gene10019	13861	Phalli_NC_038044.1	16716709	16718844	Phalli_NC_038044.1:16716709-16718844
gene1002	24200	Phalli_NC_038042.1	8814186	8818252	Phalli_NC_038042.1:8814186-8818252
gene10020	13862	Phalli_NC_038044.1	16744049	16748475	Phalli_NC_038044.1:16744049-16748475
gene10021	13863	Phalli_NC_038044.1	16784342	16786849	Phalli_NC_038044.1:16784342-16786849
gene10022	13864	Phalli_NC_038044.1	16788042	16791601	Phalli_NC_038044.1:16788042-16791601
gene10023	13865	Phalli_NC_038044.1	16795751	16799024	Phalli_NC_038044.1:16795751-16799024
gene10024	13866	Phalli_NC_038044.1	16800245	16802704	Phalli_NC_038044.1:16800245-16802704
gene10025	13867	Phalli_NC_038044.1	16804593	16807903	Phalli_NC_038044.1:16804593-16807903
