gene_ID	OF_ID	seqname	start	end	gea_gene
gene0	0	Crub_NW_006238923.1_scaff_1	1864	3158	Crub_NW_006238923.1_scaff_1:1864-3158
gene1	1	Crub_NW_006238923.1_scaff_1	3310	7428	Crub_NW_006238923.1_scaff_1:3310-7428
gene10	10	Crub_NW_006238923.1_scaff_1	29068	31781	Crub_NW_006238923.1_scaff_1:29068-31781
gene100	94	Crub_NW_006238923.1_scaff_1	337202	339909	Crub_NW_006238923.1_scaff_1:337202-339909
gene1000	924	Crub_NW_006238923.1_scaff_1	3414358	3415293	Crub_NW_006238923.1_scaff_1:3414358-3415293
gene10000	9097	Crub_NW_006238921.1_scaff_3	8068990	8072929	Crub_NW_006238921.1_scaff_3:8068990-8072929
gene10001	9098	Crub_NW_006238921.1_scaff_3	8073026	8076280	Crub_NW_006238921.1_scaff_3:8073026-8076280
gene10002	9099	Crub_NW_006238921.1_scaff_3	8077263	8081138	Crub_NW_006238921.1_scaff_3:8077263-8081138
gene10003	9100	Crub_NW_006238921.1_scaff_3	8081338	8081940	Crub_NW_006238921.1_scaff_3:8081338-8081940
gene10004	9101	Crub_NW_006238921.1_scaff_3	8082032	8085383	Crub_NW_006238921.1_scaff_3:8082032-8085383
gene10005	9102	Crub_NW_006238921.1_scaff_3	8087114	8087779	Crub_NW_006238921.1_scaff_3:8087114-8087779
gene10007	9103	Crub_NW_006238921.1_scaff_3	8092006	8092856	Crub_NW_006238921.1_scaff_3:8092006-8092856
gene10008	9104	Crub_NW_006238921.1_scaff_3	8093415	8094778	Crub_NW_006238921.1_scaff_3:8093415-8094778
gene10009	9105	Crub_NW_006238921.1_scaff_3	8098062	8100439	Crub_NW_006238921.1_scaff_3:8098062-8100439
gene1001	925	Crub_NW_006238923.1_scaff_1	3415821	3420297	Crub_NW_006238923.1_scaff_1:3415821-3420297
gene10010	9106	Crub_NW_006238921.1_scaff_3	8101132	8103943	Crub_NW_006238921.1_scaff_3:8101132-8103943
gene10011	9107	Crub_NW_006238921.1_scaff_3	8104578	8108803	Crub_NW_006238921.1_scaff_3:8104578-8108803
gene10012	9108	Crub_NW_006238921.1_scaff_3	8110252	8111039	Crub_NW_006238921.1_scaff_3:8110252-8111039
gene10013	9109	Crub_NW_006238921.1_scaff_3	8113217	8117169	Crub_NW_006238921.1_scaff_3:8113217-8117169
gene10014	9110	Crub_NW_006238921.1_scaff_3	8117277	8118498	Crub_NW_006238921.1_scaff_3:8117277-8118498
gene10015	9111	Crub_NW_006238921.1_scaff_3	8118938	8121665	Crub_NW_006238921.1_scaff_3:8118938-8121665
gene10016	9112	Crub_NW_006238921.1_scaff_3	8121940	8123525	Crub_NW_006238921.1_scaff_3:8121940-8123525
