gene_ID	OF_ID	seqid	start	end	gea_gene
evm.TU.Bstr_chr1.1	0	Bstr_chr1	3431	9185	:3431-9185
evm.TU.Bstr_chr1.10	9	Bstr_chr1	31340	32759	:31340-32759
evm.TU.Bstr_chr1.100	99	Bstr_chr1	397572	397997	:397572-397997
evm.TU.Bstr_chr1.1000	999	Bstr_chr1	4975611	4979945	:4975611-4979945
evm.TU.Bstr_chr1.1001	1000	Bstr_chr1	4982265	4983934	:4982265-4983934
evm.TU.Bstr_chr1.1002	1001	Bstr_chr1	4985200	4988719	:4985200-4988719
evm.TU.Bstr_chr1.1003	1002	Bstr_chr1	4989263	4992576	:4989263-4992576
evm.TU.Bstr_chr1.1004	1003	Bstr_chr1	4995513	4997223	:4995513-4997223
evm.TU.Bstr_chr1.1005	1004	Bstr_chr1	4999370	5000053	:4999370-5000053
evm.TU.Bstr_chr1.1006	1005	Bstr_chr1	5002128	5004879	:5002128-5004879
evm.TU.Bstr_chr1.1007	1006	Bstr_chr1	5018624	5020977	:5018624-5020977
evm.TU.Bstr_chr1.1008	1007	Bstr_chr1	5022893	5025220	:5022893-5025220
evm.TU.Bstr_chr1.1009	1008	Bstr_chr1	5026105	5027299	:5026105-5027299
evm.TU.Bstr_chr1.101	100	Bstr_chr1	398967	400424	:398967-400424
evm.TU.Bstr_chr1.1010	1009	Bstr_chr1	5031901	5033650	:5031901-5033650
evm.TU.Bstr_chr1.1011	1010	Bstr_chr1	5035825	5038442	:5035825-5038442
evm.TU.Bstr_chr1.1012	1011	Bstr_chr1	5040887	5044376	:5040887-5044376
evm.TU.Bstr_chr1.1013	1012	Bstr_chr1	5050235	5052013	:5050235-5052013
evm.TU.Bstr_chr1.1014	1013	Bstr_chr1	5053534	5056478	:5053534-5056478
evm.TU.Bstr_chr1.1015	1014	Bstr_chr1	5057667	5058170	:5057667-5058170
evm.TU.Bstr_chr1.1016	1015	Bstr_chr1	5059465	5060502	:5059465-5060502
evm.TU.Bstr_chr1.1017	1016	Bstr_chr1	5061158	5061991	:5061158-5061991
evm.TU.Bstr_chr1.1018	1017	Bstr_chr1	5063426	5064298	:5063426-5064298
evm.TU.Bstr_chr1.1019	1018	Bstr_chr1	5064902	5067456	:5064902-5067456
evm.TU.Bstr_chr1.102	101	Bstr_chr1	402370	403464	:402370-403464
evm.TU.Bstr_chr1.1020	1019	Bstr_chr1	5068690	5073176	:5068690-5073176
evm.TU.Bstr_chr1.1021	1020	Bstr_chr1	5075488	5075866	:5075488-5075866
evm.TU.Bstr_chr1.1022	1021	Bstr_chr1	5077884	5078255	:5077884-5078255
evm.TU.Bstr_chr1.1023	1022	Bstr_chr1	5092754	5094351	:5092754-5094351
evm.TU.Bstr_chr1.1024	1023	Bstr_chr1	5094932	5109135	:5094932-5109135
evm.TU.Bstr_chr1.1025	1024	Bstr_chr1	5115441	5117680	:5115441-5117680
evm.TU.Bstr_chr1.1026	1025	Bstr_chr1	5118244	5120013	:5118244-5120013
evm.TU.Bstr_chr1.1027	1026	Bstr_chr1	5120957	5123165	:5120957-5123165
evm.TU.Bstr_chr1.1028	1027	Bstr_chr1	5123918	5124370	:5123918-5124370
evm.TU.Bstr_chr1.1029	1028	Bstr_chr1	5132364	5134951	:5132364-5134951
evm.TU.Bstr_chr1.103	102	Bstr_chr1	403680	405309	:403680-405309
evm.TU.Bstr_chr1.1030	1029	Bstr_chr1	5137899	5141631	:5137899-5141631
evm.TU.Bstr_chr1.1031	1030	Bstr_chr1	5142357	5144180	:5142357-5144180
