gene_ID	OF_ID	seqname	start	end	gea_gene
gene-AGL	28300	Egrand_NW_010092442.1	46779680	46789488	Egrand_NW_010092442.1:46779680-46789488
gene-AGL-2	31797	Egrand_NW_010092443.1	39458396	39471110	Egrand_NW_010092443.1:39458396-39471110
gene-AGL-3	24181	Egrand_NW_010092448.1	15148982	15158402	Egrand_NW_010092448.1:15148982-15158402
gene-EGM2	26968	Egrand_NW_010092442.1	10613479	10617097	Egrand_NW_010092442.1:10613479-10617097
gene-EGM3	25292	Egrand_NW_010092448.1	32636170	32640700	Egrand_NW_010092448.1:32636170-32640700
gene-EucgrC_p001	12818	Egrand_NC_014570.1	539	1600	Egrand_NC_014570.1:539-1600
gene-EucgrC_p002	12819	Egrand_NC_014570.1	2173	3684	Egrand_NC_014570.1:2173-3684
gene-EucgrC_p003	12820	Egrand_NC_014570.1	7994	8179	Egrand_NC_014570.1:7994-8179
gene-EucgrC_p004	12821	Egrand_NC_014570.1	8567	8677	Egrand_NC_014570.1:8567-8677
gene-EucgrC_p005	12822	Egrand_NC_014570.1	11193	12716	Egrand_NC_014570.1:11193-12716
gene-EucgrC_p006	12823	Egrand_NC_014570.1	12778	13245	Egrand_NC_014570.1:12778-13245
gene-EucgrC_p007	12824	Egrand_NC_014570.1	14624	14869	Egrand_NC_014570.1:14624-14869
gene-EucgrC_p008	12825	Egrand_NC_014570.1	15979	16722	Egrand_NC_014570.1:15979-16722
gene-EucgrC_p009	12826	Egrand_NC_014570.1	16933	17643	Egrand_NC_014570.1:16933-17643
gene-EucgrC_p012	12827	Egrand_NC_014570.1	25030	28248	Egrand_NC_014570.1:25030-28248
gene-EucgrC_p013	12828	Egrand_NC_014570.1	30462	30557	Egrand_NC_014570.1:30462-30557
gene-EucgrC_p014	12829	Egrand_NC_014570.1	31520	31624	Egrand_NC_014570.1:31520-31624
gene-EucgrC_p015	12830	Egrand_NC_014570.1	35854	36915	Egrand_NC_014570.1:35854-36915
gene-EucgrC_p016	12831	Egrand_NC_014570.1	36863	38284	Egrand_NC_014570.1:36863-38284
gene-EucgrC_p017	12832	Egrand_NC_014570.1	38964	39152	Egrand_NC_014570.1:38964-39152
gene-EucgrC_p018	12833	Egrand_NC_014570.1	40334	40636	Egrand_NC_014570.1:40334-40636
gene-EucgrC_p019	12834	Egrand_NC_014570.1	40764	42968	Egrand_NC_014570.1:40764-42968
gene-EucgrC_p020	12835	Egrand_NC_014570.1	42994	45246	Egrand_NC_014570.1:42994-45246
gene-EucgrC_p021	12836	Egrand_NC_014570.1	46882	47111	Egrand_NC_014570.1:46882-47111
gene-EucgrC_p022	12837	Egrand_NC_014570.1	49194	49799	Egrand_NC_014570.1:49194-49799
gene-EucgrC_p023	12838	Egrand_NC_014570.1	52955	53431	Egrand_NC_014570.1:52955-53431
gene-EucgrC_p025	12839	Egrand_NC_014570.1	54262	54624	Egrand_NC_014570.1:54262-54624
gene-EucgrC_p026	12840	Egrand_NC_014570.1	56326	56727	Egrand_NC_014570.1:56326-56727
gene-EucgrC_p027	12841	Egrand_NC_014570.1	56724	58220	Egrand_NC_014570.1:56724-58220
gene-EucgrC_p028	12842	Egrand_NC_014570.1	59022	60449	Egrand_NC_014570.1:59022-60449
gene-EucgrC_p030	12843	Egrand_NC_014570.1	63417	63530	Egrand_NC_014570.1:63417-63530
gene-EucgrC_p031	12844	Egrand_NC_014570.1	63949	64503	Egrand_NC_014570.1:63949-64503
gene-EucgrC_p032	12845	Egrand_NC_014570.1	65506	66195	Egrand_NC_014570.1:65506-66195
gene-EucgrC_p033	12846	Egrand_NC_014570.1	66415	67377	Egrand_NC_014570.1:66415-67377
gene-EucgrC_p034	12847	Egrand_NC_014570.1	68371	68493	Egrand_NC_014570.1:68371-68493
gene-EucgrC_p036	12848	Egrand_NC_014570.1	68781	68900	Egrand_NC_014570.1:68781-68900
gene-EucgrC_p037	12849	Egrand_NC_014570.1	68910	69161	Egrand_NC_014570.1:68910-69161
gene-EucgrC_p038	12850	Egrand_NC_014570.1	70426	70521	Egrand_NC_014570.1:70426-70521
gene-EucgrC_p039	12851	Egrand_NC_014570.1	70695	70808	Egrand_NC_014570.1:70695-70808
gene-EucgrC_p040	12852	Egrand_NC_014570.1	71694	71828	Egrand_NC_014570.1:71694-71828
