chr,block1.end.pos,block2.start.pos,breakpoint.pos,Selected.420
1,126609,127093,126851,No
1,146734,151617,149176,Yes
1,146734,151617,149176,No
1,154679,159122,156900,No
1,171250,173531,172390,No
1,171924,173531,172728,No
1,172965,173531,173248,No
1,170260,182057,176158,No
1,174816,178456,176636,No
1,174816,179753,177284,No
1,179175,181261,180218,No
1,182057,183623,182840,No
1,183623,207856,195740,No
1,181261,210319,195790,Yes
1,181261,210319,195790,No
1,183623,210319,196971,No
1,173531,266733,220132,No
1,179175,266733,222954,No
1,181261,266846,224054,No
1,207856,266733,237294,No
1,210319,266733,238526,No
1,210319,266846,238582,No
1,267853,269524,268688,No
1,269697,270147,269922,No
1,269697,271416,270556,No
1,269697,271416,270556,No
1,290554,292344,291449,No
1,291602,291993,291798,Yes
1,309787,387895,348841,No
1,387895,432021,409958,Yes
1,432021,439809,435915,No
1,432547,440564,436556,No
1,432547,445271,438909,No
1,440564,445271,442918,No
1,445271,446882,446076,No
1,447125,449560,448342,No
1,452718,453652,453185,No
1,450466,465818,458142,Yes
1,458079,461327,459703,No
1,458079,462849,460464,No
1,458079,464909,461494,No
1,464929,469286,467108,No
1,468404,468846,468625,No
1,468498,468846,468672,No
1,469581,473429,471505,No
1,469337,478208,473772,No
1,468849,485242,477046,No
1,479432,483188,481310,No
1,479432,483188,481310,No
1,485402,489092,487247,No
1,485402,523868,504635,No
1,495171,523868,509520,No
1,495171,560551,527861,Yes
1,495171,568285,531728,No
1,523868,563367,543618,No
1,560551,563546,562048,No
1,562860,563367,563114,No
1,567771,568766,568268,No
1,567819,569173,568496,Yes
1,568371,569173,568772,Yes
1,568371,569241,568806,No
1,569269,571611,570440,No
1,571823,571955,571889,No
1,571284,573099,572192,No
1,574162,574385,574274,No
1,573099,575623,574361,No
1,573659,577323,575491,No
1,577628,579884,578756,No
1,579884,580976,580430,No
1,583717,584719,584218,No
1,584719,584728,584724,No
1,584728,586941,585834,Yes
1,591513,593981,592747,No
1,594166,594446,594306,Yes
1,596554,599372,597963,Yes
1,591513,606437,598975,No
1,606416,606437,606426,No
1,609446,610051,609748,No
1,612952,615607,614280,No
1,612952,615607,614280,No
1,612952,616831,614892,No
1,615954,616831,616392,No
1,615954,618452,617203,No
1,616982,617800,617391,No
1,616831,623047,619939,No
1,623047,630457,626752,No
1,627030,627062,627046,Yes
1,629134,631901,630518,No
1,636788,636917,636852,Yes
1,642802,645371,644086,No
1,650855,653165,652010,No
1,652305,653165,652735,No
1,652305,664319,658312,Yes
1,660944,663182,662063,No
1,664536,664671,664604,No
1,670658,671911,671284,No
1,672669,678224,675446,No
1,675177,678224,676700,No
1,678328,678747,678538,No
1,701732,703327,702530,Yes
1,703514,705223,704368,No
1,708773,709476,709124,Yes
1,730948,732956,731952,No
1,733046,734158,733602,No
1,736041,738655,737348,No
1,747178,747747,747462,No
1,752927,753480,753204,No
1,757164,758573,757868,No
1,760151,764301,762226,No
1,761468,764116,762792,No
1,766776,768161,767468,No
1,769275,769552,769414,No
1,770082,770282,770182,No
1,775234,776241,775738,No
1,780759,783309,782034,Yes
1,783309,783499,783404,No
