"Orthogroup","Climate Variable","Athaliana Genes","TAIR Genes"
"OG0002257","Mean Temp/Min Temp Coldest Month/Mean Temp Warm Quarter/Mean Temp Cold Quarter/Annual Precip/Precip Cold Quarter","UBQ7","AT2G35635"
"","","AT1G11970","AT1G11970"
"","","RUB3","AT1G11980"
"","","RUB1","AT1G31340"
"OG0001291","Max Temp Warmest Month/Mean Temp Warm Quarter/Mean Temp Cold Quarter","AHBP-1B","AT5G06950"
"","","OBF5","AT5G06960"
"","","TGA6","AT3G12250"
"","","PAN","AT1G68640"
"OG0006144","Annual Precip/Precip Wet Month/Precip Wet Quarter","AT5G16870","AT5G16870"
"","","AT3G03010","AT3G03010"
"OG0007577","Min Temp Coldest Month/Precip Wet Month","AT4G28450","AT4G28450"
"OG0003045","Mean Temp/Isothermality/Temp Seasonality/Min Temp Coldest Month/Temp Range/Mean Temp Wet Quarter/Mean Temp Dry Quarter/Mean Temp Warm Quarter/Mean Temp Cold Quarter/Precip Cold Quarter","PRR7","AT5G02810"
"","","PRR3","AT5G60100"
"OG0002242","Isothermality/Mean Temp Dry Quarter","""ATB BETA""","AT1G17720"
"","","""B ALPHA""","AT1G51690"
"OG0000840","Mean Temp/Mean Temp Cold Quarter","AT5G46150","AT5G46150"
"","","ALIS1","AT3G12740"
"","","AT1G16360","AT1G16360"
"","","AT1G54320","AT1G54320"
"","","ALIS5","AT1G79450"
"OG0004914","Mean Temp/Mean Temp Warm Quarter","SAE1A","AT4G24940"
"","","SAE1B","AT5G50580"
"","","SAE1B","AT5G50680"
"OG0002029","Annual Precip/Precip Seasonality","AT2G18330","AT2G18330"
"","","AT4G36580","AT4G36580"
"","","AT5G16930","AT5G16930"
"","","AT3G03060","AT3G03060"
"OG0001882","Isothermality","AT4G15545","AT4G15545"
"","","AT1G16520","AT1G16520"
"","","AT1G56080","AT1G56080"
"OG0003130","Mean Temp Dry Quarter","AT2G23820","AT2G23820"
"","","AT1G26160","AT1G26160"
"OG0004873","Mean Temp Warm Quarter","AT4G02660","AT4G02660"
"","","SPI","AT1G03060"
"OG0005859","Max Temp Warmest Month","GPS1","AT2G34630"
"OG0006452","Mean Temp Wet Quarter","ELF9","AT5G16260"
"OG0011642","Precip Cold Quarter","AT2G47830","AT2G47830"
"OG0007741","Mean Temp/Min Temp Coldest Month/Mean Temp Warm Quarter","AT1G04200","AT1G04200"
"OG0002080","Mean Temp Wet Quarter/Precip Wet Month/Precip Cold Quarter","SOS1","AT2G01980"
"","","NHX8","AT1G14660"
"OG0004234","Precip Dry Month/Precip Cold Quarter","PCN","AT4G07410"
"","","AT1G27470","AT1G27470"
"OG0002527","Mean Temp Wet Quarter","AT5G02950","AT5G02950"
"","","AT3G09670","AT3G09670"
"OG0004254","Min Temp Coldest Month","AT5G38050","AT5G38050"
"","","AT1G71080","AT1G71080"
"OG0005626","Isothermality","AT3G42050","AT3G42050"
"OG0005666","Precip Seasonality","WAV2","AT5G20520"
"OG0005820","Mean Temp Wet Quarter","PDIL1-6","AT3G16110"
"","","PDIL1-5","AT1G52260"
"OG0008026","Precip Dry Month","RKP","AT2G22010"
"OG0010208","Temp Seasonality","AT1G70620","AT1G70620"
"OG0010411","Isothermality","AT2G03780","AT2G03780"
"OG0004963","Min Temp Coldest Month/Mean Temp Cold Quarter/Precip Seasonality","AT3G17920","AT3G17920"
"","","AT1G48540","AT1G48540"
"OG0002326","Precip Cold Quarter","RVE1","AT5G17300"
"","","RVE2","AT5G37260"
"","","AT3G10113","AT3G10113"
"","","EPR1","AT1G18330"
"OG0002361","Mean Temp","CPN60A","AT2G28000"
"","","Cpn60alpha2","AT5G18820"
"OG0005424","Max Temp Warmest Month","KAO2","AT2G32440"
"","","CYP88A3","AT1G05160"
"OG0008863","Min Temp Coldest Month","GI","AT1G22770"
"OG0012205","Precip Wet Month","AT3G61360","AT3G61360"
"OG0010250","Mean Temp/Max Temp Warmest Month","ALDH22A1","AT3G66658"
"OG0001434","Precip Dry Month","ABCG33","AT2G37280"
"","","ABCG41","AT4G15215"
"","","ABCG30","AT4G15230"
"","","ABCG42","AT4G15233"
"","","ABCG43","AT4G15236"
"","","ABCG37","AT3G53480"
"OG0003057","Isothermality","MTP11","AT2G39450"
"OG0003923","Temp Seasonality","AT2G28490","AT2G28490"
"OG0004305","Precip Seasonality","AT2G41160","AT2G41160"
"","","AT3G56740","AT3G56740"
"OG0004457","Precip Warm Quarter","AT5G49680","AT5G49680"
