gene_ID	OF_ID	seqname	start	end	gea_gene
PSME_00001	0	jcf7190000015307	464224	464790	jcf7190000015307:464224-464790
PSME_00002	1	jcf7190000207085	41262	41786	jcf7190000207085:41262-41786
PSME_00003	2	jcf7190000010132	402977	403633	jcf7190000010132:402977-403633
PSME_00004	3	jcf7190000004744	427388	429364	jcf7190000004744:427388-429364
PSME_00005	4	jcf7190000073941	78493	79242	jcf7190000073941:78493-79242
PSME_00006	5	jcf7190000044770	22727	24085	jcf7190000044770:22727-24085
PSME_00007	6	jcf7190000244909	100237	100767	jcf7190000244909:100237-100767
PSME_00008	7	jcf7190000045769	84307	85371	jcf7190000045769:84307-85371
PSME_00009	8	jcf7190000201327	45607	46296	jcf7190000201327:45607-46296
PSME_00010	9	jcf7190000187996	104585	105514	jcf7190000187996:104585-105514
PSME_00011	10	jcf7190000018810	577927	578838	jcf7190000018810:577927-578838
PSME_00012	11	jcf7190000046251	138029	139069	jcf7190000046251:138029-139069
PSME_00013	12	jcf7190000216649	7591	9852	jcf7190000216649:7591-9852
PSME_00014	13	jcf7190000012082	279956	281911	jcf7190000012082:279956-281911
PSME_00015	14	jcf7190000445470	161	3115	jcf7190000445470:161-3115
PSME_00016	15	jcf7190000203842	3543	6122	jcf7190000203842:3543-6122
PSME_00017	16	jcf7190000013008	95322	95738	jcf7190000013008:95322-95738
PSME_00018	17	jcf7190000042220	345760	346584	jcf7190000042220:345760-346584
PSME_00019	18	jcf7190000064686	228941	229591	jcf7190000064686:228941-229591
PSME_00020	19	jcf7190000025963	338835	340463	jcf7190000025963:338835-340463
PSME_00021	20	jcf7190000048221	64585	65820	jcf7190000048221:64585-65820
PSME_00022	21	jcf7190000033746	221255	221902	jcf7190000033746:221255-221902
PSME_00023	22	jcf7190000196162	17411	18406	jcf7190000196162:17411-18406
PSME_00024	23	jcf7190000132203	114338	116269	jcf7190000132203:114338-116269
PSME_00025	24	jcf7190000053667	56201	56758	jcf7190000053667:56201-56758
PSME_00026	25	jcf7190000003540	36735	37889	jcf7190000003540:36735-37889
PSME_00027	26	jcf7190000018984	36365	36772	jcf7190000018984:36365-36772
PSME_00028	27	jcf7190000141819	212780	213649	jcf7190000141819:212780-213649
PSME_00029	28	jcf7190000192622	6126	6515	jcf7190000192622:6126-6515
PSME_00030	29	jcf7190000036252	86661	87389	jcf7190000036252:86661-87389
PSME_00031	30	jcf7190000084413	142206	143870	jcf7190000084413:142206-143870
PSME_00032	31	jcf7190000020839	653054	653452	jcf7190000020839:653054-653452
PSME_00033	32	jcf7190000006051	521708	522136	jcf7190000006051:521708-522136
PSME_00034	33	jcf7190000020434	181014	183890	jcf7190000020434:181014-183890
PSME_00035	34	jcf7190000038113	188432	189130	jcf7190000038113:188432-189130
PSME_00036	35	jcf7190000072625	282159	282470	jcf7190000072625:282159-282470
PSME_00037	36	jcf7190000036335	29007	30236	jcf7190000036335:29007-30236
PSME_00038	37	jcf7190000094383	37750	38424	jcf7190000094383:37750-38424
PSME_00039	38	jcf7190000006975	57206	57739	jcf7190000006975:57206-57739
PSME_00040	39	jcf7190000043281	275058	275609	jcf7190000043281:275058-275609
PSME_00041	40	jcf7190000251871	21412	22455	jcf7190000251871:21412-22455
PSME_00042	41	jcf7190000065922	6868	8394	jcf7190000065922:6868-8394
PSME_00043	42	jcf7190000003430	761898	762560	jcf7190000003430:761898-762560
PSME_00044	43	jcf7190000010952	804	2600	jcf7190000010952:804-2600
PSME_00045	44	jcf7190000246790	25939	26250	jcf7190000246790:25939-26250
PSME_00046	45	jcf7190000088925	21454	25116	jcf7190000088925:21454-25116
PSME_00047	46	jcf7190000044113	428588	430549	jcf7190000044113:428588-430549
PSME_00048	47	jcf7190000021881	2327	4765	jcf7190000021881:2327-4765
PSME_00049	48	jcf7190000049417	116251	116958	jcf7190000049417:116251-116958
PSME_00050	49	jcf7190000132246	20099	20740	jcf7190000132246:20099-20740
PSME_00051	50	jcf7190000149608	14769	17033	jcf7190000149608:14769-17033
PSME_00052	51	jcf7190000020441	116023	116523	jcf7190000020441:116023-116523
PSME_00053	52	jcf7190000260690	3804	4502	jcf7190000260690:3804-4502
PSME_00054	53	jcf7190000044280	87905	89395	jcf7190000044280:87905-89395
PSME_00055	54	jcf7190000107645	54548	54913	jcf7190000107645:54548-54913
PSME_00056	55	jcf7190000149036	5509	6846	jcf7190000149036:5509-6846
PSME_00057	56	jcf7190000321021	21439	22389	jcf7190000321021:21439-22389
PSME_00058	57	jcf7190000019848	560641	561654	jcf7190000019848:560641-561654
PSME_00059	58	jcf7190000238125	19357	19899	jcf7190000238125:19357-19899
PSME_00060	59	jcf7190000207115	8019	9467	jcf7190000207115:8019-9467
PSME_00061	60	jcf7190000036136	33739	34542	jcf7190000036136:33739-34542
PSME_00062	61	jcf7190000048616	5271	6479	jcf7190000048616:5271-6479
PSME_00063	62	jcf7190000030366	116897	117991	jcf7190000030366:116897-117991
PSME_00064	63	jcf7190000010374	292362	292817	jcf7190000010374:292362-292817
PSME_00065	64	jcf7190000315658	32811	39299	jcf7190000315658:32811-39299
PSME_00066	65	jcf7190000068242	88668	89849	jcf7190000068242:88668-89849
PSME_00067	66	jcf7190000063593	267782	268999	jcf7190000063593:267782-268999
PSME_00068	67	jcf7190000121333	30883	31440	jcf7190000121333:30883-31440
PSME_00069	68	jcf7190000100100	64227	65510	jcf7190000100100:64227-65510
PSME_00070	69	jcf7190000200919	17623	18846	jcf7190000200919:17623-18846
PSME_00071	70	jcf7190000102652	232746	234290	jcf7190000102652:232746-234290
PSME_00072	71	jcf7190000121090	91714	92229	jcf7190000121090:91714-92229
PSME_00073	72	jcf7190000016242	162077	164260	jcf7190000016242:162077-164260
PSME_00074	73	jcf7190000020576	29630	30679	jcf7190000020576:29630-30679
PSME_00075	74	jcf7190000017617	247830	248570	jcf7190000017617:247830-248570
PSME_00076	75	jcf7190000060077	408	2318	jcf7190000060077:408-2318
PSME_00077	76	jcf7190000002522	348212	349417	jcf7190000002522:348212-349417
PSME_00078	77	jcf7190000089441	7115	7702	jcf7190000089441:7115-7702
PSME_00079	78	jcf7190000046962	129018	129341	jcf7190000046962:129018-129341
PSME_00080	79	jcf7190000104015	110923	112041	jcf7190000104015:110923-112041
PSME_00081	80	jcf7190000008539	63421	63795	jcf7190000008539:63421-63795
PSME_00082	81	jcf7190000037938	426998	428587	jcf7190000037938:426998-428587
PSME_00083	82	jcf7190000321035	27428	28270	jcf7190000321035:27428-28270
PSME_00084	83	jcf7190000043303	262707	263741	jcf7190000043303:262707-263741
PSME_00085	84	jcf7190000169946	280672	283242	jcf7190000169946:280672-283242
PSME_00086	85	jcf7190000283924	2303	2785	jcf7190000283924:2303-2785
PSME_00087	86	jcf7190000102438	92912	93559	jcf7190000102438:92912-93559
PSME_00088	87	jcf7190000014786	461551	463212	jcf7190000014786:461551-463212
PSME_00089	88	jcf7190000055386	153275	153613	jcf7190000055386:153275-153613
PSME_00090	89	jcf7190000127520	62722	63342	jcf7190000127520:62722-63342
PSME_00091	90	jcf7190000422822	13801	15018	jcf7190000422822:13801-15018
PSME_00092	91	jcf7190000044909	20309	22402	jcf7190000044909:20309-22402
PSME_00093	92	jcf7190000230475	61365	62804	jcf7190000230475:61365-62804
PSME_00094	93	jcf7190000004990	89002	90048	jcf7190000004990:89002-90048
PSME_00095	94	jcf7190000239989	18324	19595	jcf7190000239989:18324-19595
PSME_00096	95	jcf7190000065526	288080	288532	jcf7190000065526:288080-288532
PSME_00097	96	jcf7190000031664	49205	50032	jcf7190000031664:49205-50032
PSME_00098	97	jcf7190000081009	105245	105670	jcf7190000081009:105245-105670
PSME_00099	98	jcf7190000007621	559451	559822	jcf7190000007621:559451-559822
PSME_00100	99	jcf7190000022221	627672	629651	jcf7190000022221:627672-629651
PSME_00101	100	jcf7190000020905	378744	379784	jcf7190000020905:378744-379784
PSME_00102	101	jcf7190000028069	149019	150209	jcf7190000028069:149019-150209
PSME_00103	102	jcf7190000005685	648106	648924	jcf7190000005685:648106-648924
PSME_00104	103	jcf7190000010886	560050	561864	jcf7190000010886:560050-561864
PSME_00105	104	jcf7190000048967	186855	187421	jcf7190000048967:186855-187421
PSME_00106	105	jcf7190000445036	6499	7122	jcf7190000445036:6499-7122
PSME_00107	106	jcf7190000028792	19710	20324	jcf7190000028792:19710-20324
PSME_00108	107	jcf7190000448290	7718	8128	jcf7190000448290:7718-8128
PSME_00109	108	jcf7190000060208	648715	649803	jcf7190000060208:648715-649803
PSME_00110	109	jcf7190000355330	8089	9600	jcf7190000355330:8089-9600
PSME_00111	110	jcf7190000045975	167099	167860	jcf7190000045975:167099-167860
PSME_00112	111	jcf7190000002428	383411	385039	jcf7190000002428:383411-385039
PSME_00113	112	jcf7190000122558	16572	17702	jcf7190000122558:16572-17702
PSME_00114	113	jcf7190000122323	27187	27867	jcf7190000122323:27187-27867
PSME_00115	114	jcf7190000132715	361801	363333	jcf7190000132715:361801-363333
PSME_00116	115	jcf7190000003777	2009866	2010969	jcf7190000003777:2009866-2010969
PSME_00117	116	jcf7190000033072	100436	100738	jcf7190000033072:100436-100738
PSME_00118	117	jcf7190000088347	27343	28392	jcf7190000088347:27343-28392
PSME_00119	118	jcf7190000019305	575536	576567	jcf7190000019305:575536-576567
PSME_00120	119	jcf7190000385486	10622	11599	jcf7190000385486:10622-11599
PSME_00121	120	jcf7190000038214	48264	48884	jcf7190000038214:48264-48884
PSME_00122	121	jcf7190000266884	19432	19950	jcf7190000266884:19432-19950
PSME_00123	122	jcf7190000041715	215935	216804	jcf7190000041715:215935-216804
PSME_00124	123	jcf7190000315658	46190	47803	jcf7190000315658:46190-47803
PSME_00125	124	jcf7190000018597	36804	37334	jcf7190000018597:36804-37334
PSME_00126	125	jcf7190000002082	847895	849265	jcf7190000002082:847895-849265
PSME_00127	126	jcf7190000155218	113983	115401	jcf7190000155218:113983-115401
PSME_00128	127	jcf7190000094234	64873	65670	jcf7190000094234:64873-65670
PSME_00129	128	jcf7190000005303	1043711	1044166	jcf7190000005303:1043711-1044166
PSME_00130	129	jcf7190000057468	260291	261115	jcf7190000057468:260291-261115
PSME_00131	130	jcf7190000056214	235156	235878	jcf7190000056214:235156-235878
PSME_00132	131	jcf7190000016481	241968	243854	jcf7190000016481:241968-243854
PSME_00133	132	jcf7190000069057	4022	4741	jcf7190000069057:4022-4741
PSME_00134	133	jcf7190000129858	400605	401594	jcf7190000129858:400605-401594
PSME_00135	134	jcf7190000235931	39040	39687	jcf7190000235931:39040-39687
PSME_00136	135	jcf7190000092742	69047	70282	jcf7190000092742:69047-70282
PSME_00137	136	jcf7190000125081	50098	50637	jcf7190000125081:50098-50637
PSME_00138	137	jcf7190000005106	332341	332733	jcf7190000005106:332341-332733
PSME_00139	138	jcf7190000030460	74352	75224	jcf7190000030460:74352-75224
PSME_00140	139	jcf7190000017155	1398753	1400012	jcf7190000017155:1398753-1400012
PSME_00141	140	jcf7190000024795	633284	634165	jcf7190000024795:633284-634165
PSME_00142	141	jcf7190000050121	68329	70035	jcf7190000050121:68329-70035
PSME_00143	142	jcf7190000009694	397473	398366	jcf7190000009694:397473-398366
PSME_00144	143	jcf7190000126359	38726	39094	jcf7190000126359:38726-39094
PSME_00145	144	jcf7190000444534	4356	5180	jcf7190000444534:4356-5180
PSME_00146	145	jcf7190000035686	282848	283891	jcf7190000035686:282848-283891
PSME_00147	146	jcf7190000000973	16045	17091	jcf7190000000973:16045-17091
PSME_00148	147	jcf7190000012712	664367	665380	jcf7190000012712:664367-665380
PSME_00149	148	jcf7190000057183	1403	2365	jcf7190000057183:1403-2365
PSME_00150	149	jcf7190000081918	147832	149271	jcf7190000081918:147832-149271
PSME_00151	150	jcf7190000020364	431140	432264	jcf7190000020364:431140-432264
PSME_00152	151	jcf7190000165952	25220	26269	jcf7190000165952:25220-26269
PSME_00153	152	jcf7190000146204	128614	130434	jcf7190000146204:128614-130434
PSME_00154	153	jcf7190000037429	99865	100731	jcf7190000037429:99865-100731
PSME_00155	154	jcf7190000066360	81748	82188	jcf7190000066360:81748-82188
PSME_00156	155	jcf7190000030525	400961	401452	jcf7190000030525:400961-401452
PSME_00157	156	jcf7190000087939	316271	316807	jcf7190000087939:316271-316807
PSME_00158	157	jcf7190000103376	365852	366664	jcf7190000103376:365852-366664
PSME_00159	158	jcf7190000018888	65567	66925	jcf7190000018888:65567-66925
PSME_00160	159	jcf7190000077203	40665	41279	jcf7190000077203:40665-41279
PSME_00161	160	jcf7190000015464	307854	309074	jcf7190000015464:307854-309074
PSME_00162	161	jcf7190000093996	72520	74094	jcf7190000093996:72520-74094
PSME_00163	162	jcf7190000349188	2482	3027	jcf7190000349188:2482-3027
